################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -6.1111048167718986E-02 a         1     0     1     1     1
  1.4776010032516720E+00 a         2     0     1     1     2
 -1.3673278332678174E+00 a         3     0     1     1     3
 -8.2593978529728451E-01 a         4     0     1     1     4
 -2.1652731259431604E-01 a         5     0     1     1     5
 -1.4541579541540999E+00 a         6     0     1     1     6
 -1.4854642864415640E-01 a         7     0     1     1     7
  9.9293256944200325E-01 a         8     0     1     1     8
 -6.8515554845714388E-01 a         9     0     1     1     9
 -9.2006164609119112E-01 a        10     0     1     1    10
  4.9388459982021676E-01 a        11     0     1     1    11
  9.4010506670943336E-02 a        12     0     1     1    12
 -7.7192944926382645E-01 a        13     0     1     1    13
  8.4223683055837562E-01 a        14     0     1     1    14
 -3.6654695874675847E-01 a        15     0     1     1    15
 -1.3071889877019256E+00 a        16     0     2     1     1
 -7.8621841431675432E-01 a        17     0     2     1     2
  9.5502132702328790E-01 a        18     0     2     1     3
  1.1194888000414727E+00 a        19     0     2     1     4
  1.4315307672339226E+00 a        20     0     2     1     5
  6.0711419891465879E-01 a        21     0     2     1     6
 -5.4506499374643802E-01 a        22     0     2     1     7
  9.4983817841974494E-01 a        23     0     2     1     8
 -1.0797048611053812E+00 a        24     0     2     1     9
  1.8681320625973666E-01 a        25     0     2     1    10
  8.1456430338966268E-01 a        26     0     2     1    11
  1.7992426207290357E-01 a        27     0     2     1    12
  2.4846175509281287E-01 a        28     0     2     1    13
 -2.2747843113210148E-01 a        29     0     2     1    14
 -1.4381105987176994E+00 a        30     0     2     1    15
 -6.3546454750208148E-01 a        31     0     3     1     1
 -6.4772068046911857E-01 a        32     0     3     1     2
 -3.0751407296019195E-01 a        33     0     3     1     3
  5.3880329072213051E-01 a        34     0     3     1     4
 -2.0162607125505505E-01 a        35     0     3     1     5
  6.6649329753276454E-01 a        36     0     3     1     6
  3.0515979023046108E-01 a        37     0     3     1     7
 -3.0068092783436179E-01 a        38     0     3     1     8
  2.8084284825645282E-03 a        39     0     3     1     9
 -1.1641621967997851E-01 a        40     0     3     1    10
 -1.4183269729826381E-01 a        41     0     3     1    11
  1.9547435382074677E-01 a        42     0     3     1    12
 -1.6637808117103270E-01 a        43     0     3     1    13
 -5.5275061793847036E-01 a        44     0     3     1    14
 -4.7600015670827672E-01 a        45     0     3     1    15
  7.4824837604591399E-01 a        46     0     4     1     1
  3.6274530154362850E-01 a        47     0     4     1     2
 -7.1339814830969539E-01 a        48     0     4     1     3
 -1.7985681929320038E-01 a        49     0     4     1     4
 -1.2338416767647895E+00 a        50     0     4     1     5
 -1.3782215620620308E+00 a        51     0     4     1     6
 -5.6984086146699664E-01 a        52     0     4     1     7
  1.1632528161669466E+00 a        53     0     4     1     8
  1.5624647199253707E+00 a        54     0     4     1     9
 -1.2259685304189776E+00 a        55     0     4     1    10
  2.2341304520300942E-01 a        56     0     4     1    11
  1.4112139669591066E-02 a        57     0     4     1    12
  8.6723821818612767E-01 a        58     0     4     1    13
  2.3825278634249125E+00 a        59     0     4     1    14
  2.3175636517405160E-01 a        60     0     4     1    15
 -5.5625257373947412E-01 a        61     0     5     1     1
 -3.0816491234452821E+00 a        62     0     5     1     2
  2.2058307797588572E+00 a        63     0     5     1     3
  9.6796160688057176E-01 a        64     0     5     1     4
  1.0624288192599054E+00 a        65     0     5     1     5
  2.6743778130574909E+00 a        66     0     5     1     6
  2.6656631426530991E-01 a        67     0     5     1     7
 -1.8350948017485282E+00 a        68     0     5     1     8
 -1.0871790448303065E+00 a        69     0     5     1     9
  1.0114535289128144E+00 a        70     0     5     1    10
 -7.7714742640448253E-01 a        71     0     5     1    11
 -1.5606027447205309E-01 a        72     0     5     1    12
 -9.3698241724014045E-02 a        73     0     5     1    13
 -2.1921224395882093E+00 a        74     0     5     1    14
 -7.8414623874669309E-01 a        75     0     5     1    15
  7.3529679137796511E-01 a        76     0     6     1     1
  4.4440116188732964E-01 a        77     0     6     1     2
 -6.2983820697354043E-01 a        78     0     6     1     3
  2.2717479095855422E-01 a        79     0     6     1     4
 -8.9161171945747608E-01 a        80     0     6     1     5
 -7.1982368444278444E-01 a        81     0     6     1     6
  2.0247706036669502E-01 a        82     0     6     1     7
  1.1039931583366805E-01 a        83     0     6     1     8
  2.2663516966814825E+00 a        84     0     6     1     9
 -8.6277709716580087E-01 a        85     0     6     1    10
  1.5491695296382793E-01 a        86     0     6     1    11
  1.0448462954737181E-01 a        87     0     6     1    12
  2.2844907191458988E-01 a        88     0     6     1    13
  1.8386626233020178E+00 a        89     0     6     1    14
  8.8975604583075718E-01 a        90     0     6     1    15
  3.5251959409405029E+00 a        91     0     7     1     1
  1.6038913635789203E+00 a        92     0     7     1     2
 -1.7604607418494447E+00 a        93     0     7     1     3
 -2.6727828815103001E+00 a        94     0     7     1     4
 -1.9727277647076114E+00 a        95     0     7     1     5
 -2.8984981923532707E+00 a        96     0     7     1     6
 -1.3430246044253144E-01 a        97     0     7     1     7
  2.0935254050277469E-01 a        98     0     7     1     8
  1.5664709587199330E+00 a        99     0     7     1     9
 -7.9246470377733413E-01 a       100     0     7     1    10
 -2.5297188119198171E+00 a       101     0     7     1    11
 -2.6093969012963325E-01 a       102     0     7     1    12
  1.4589072128228011E+00 a       103     0     7     1    13
  1.6479179158380233E+00 a       104     0     7     1    14
  2.2156617169339086E+00 a       105     0     7     1    15
 -8.6264161756605995E-01 a       106     0     8     1     1
 -7.0371819243196565E-01 a       107     0     8     1     2
 -3.1434479851821978E-01 a       108     0     8     1     3
  7.3519743525798176E-01 a       109     0     8     1     4
 -2.6689948847738731E-01 a       110     0     8     1     5
  3.1328939771140052E-01 a       111     0     8     1     6
  4.0071885215544600E-01 a       112     0     8     1     7
 -6.3727163772312106E-02 a       113     0     8     1     8
 -4.7661789365184892E-01 a       114     0     8     1     9
  2.9627036753018826E-01 a       115     0     8     1    10
  3.8579631792978147E-01 a       116     0     8     1    11
  7.1323648002859263E-01 a       117     0     8     1    12
 -4.4225257804251877E-01 a       118     0     8     1    13
  8.3904390007800006E-02 a       119     0     8     1    14
  1.0277504790332337E+00 a       120     0     8     1    15
  6.1756678781420715E-01 a       121     0     9     1     1
  1.3656795515060816E+00 a       122     0     9     1     2
  4.9441744941733240E-01 a       123     0     9     1     3
  1.9127858150832870E+00 a       124     0     9     1     4
  1.5233480548387242E+00 a       125     0     9     1     5
 -1.4269973094413804E+00 a       126     0     9     1     6
  1.8516600874859224E+00 a       127     0     9     1     7
  6.6699489695653225E-01 a       128     0     9     1     8
  8.7521813182114083E-01 a       129     0     9     1     9
  8.5329760825873691E-01 a       130     0     9     1    10
  1.3394902797792796E+00 a       131     0     9     1    11
 -1.2016286534169793E+00 a       132     0     9     1    12
 -1.0922275088287342E-01 a       133     0     9     1    13
 -1.5680876163794768E+00 a       134     0     9     1    14
 -4.5541273972515117E-02 a       135     0     9     1    15
 -2.1866157273246745E+00 a       136     0    10     1     1
 -1.0075130147359701E+00 a       137     0    10     1     2
  1.2139408680389576E+00 a       138     0    10     1     3
  1.7173475094471731E+00 a       139     0    10     1     4
  1.3784595660387838E-01 a       140     0    10     1     5
  1.8497482540135624E+00 a       141     0    10     1     6
  6.1931592885035414E-01 a       142     0    10     1     7
 -4.3895341422834450E-01 a       143     0    10     1     8
 -3.9067761687437513E-01 a       144     0    10     1     9
  8.7337127226490885E-01 a       145     0    10     1    10
  5.4456007854051991E-01 a       146     0    10     1    11
  1.1915741307236261E-01 a       147     0    10     1    12
 -8.2572896406993768E-01 a       148     0    10     1    13
 -8.6455030295021662E-01 a       149     0    10     1    14
  4.1753610298496162E-02 a       150     0    10     1    15
  4.6712644800922609E-01 a       151     0    11     1     1
 -1.2007168977382114E+00 a       152     0    11     1     2
 -6.3128651767946831E-01 a       153     0    11     1     3
 -2.0515967872662411E+00 a       154     0    11     1     4
 -2.6472333590820791E+00 a       155     0    11     1     5
 -1.6506522575707159E+00 a       156     0    11     1     6
 -9.1458280461468311E-01 a       157     0    11     1     7
  1.1049214664680840E+00 a       158     0    11     1     8
 -3.8858205559514414E-01 a       159     0    11     1     9
 -5.5113414368021107E-01 a       160     0    11     1    10
 -1.5365460013692842E+00 a       161     0    11     1    11
  1.6679012891905809E+00 a       162     0    11     1    12
 -4.0361134925805547E-01 a       163     0    11     1    13
  1.1021567088138868E+00 a       164     0    11     1    14
  9.5834325584095004E-01 a       165     0    11     1    15
  7.9509672702186673E-01 a       166     0    12     1     1
 -1.5499624265019510E-01 a       167     0    12     1     2
 -2.8323624012698954E+00 a       168     0    12     1     3
 -1.0506559860149036E+00 a       169     0    12     1     4
 -1.3887886450958344E+00 a       170     0    12     1     5
 -3.5076527190914292E-01 a       171     0    12     1     6
  6.0772742794987988E-01 a       172     0    12     1     7
  7.5296695600917485E-01 a       173     0    12     1     8
 -2.0709406458740136E+00 a       174     0    12     1     9
 -5.2794312303085689E-01 a       175     0    12     1    10
 -3.0290059889533072E-01 a       176     0    12     1    11
  1.2000127967682179E+00 a       177     0    12     1    12
 -6.5235400283055789E-01 a       178     0    12     1    13
 -4.1052084768736286E-01 a       179     0    12     1    14
  1.5828333930857768E+00 a       180     0    12     1    15
 -1.2404564671012286E-01 a       181     0    13     1     1
  2.8638781975998220E+00 a       182     0    13     1     2
  1.7936691721994611E+00 a       183     0    13     1     3
  4.8440756566444315E-01 a       184     0    13     1     4
  2.5473667798976929E+00 a       185     0    13     1     5
 -1.1674192110855870E+00 a       186     0    13     1     6
  2.0343775784145368E+00 a       187     0    13     1     7
 -2.3105260274549293E+00 a       188     0    13     1     8
  6.9180883187544551E-01 a       189     0    13     1     9
 -1.5759677035330679E+00 a       190     0    13     1    10
  8.1446313792241432E-01 a       191     0    13     1    11
  2.5919155207880978E-01 a       192     0    13     1    12
 -4.9489190406617284E-01 a       193     0    13     1    13
 -5.3881157070107988E-01 a       194     0    13     1    14
 -6.8254023608583414E-01 a       195     0    13     1    15
  1.1602970031089557E+00 a       196     0    14     1     1
  4.9794918296898610E-01 a       197     0    14     1     2
  4.2423808888223902E-01 a       198     0    14     1     3
  4.1145494361731136E-02 a       199     0    14     1     4
  1.3623650602881767E+00 a       200     0    14     1     5
  3.3591997477990332E-01 a       201     0    14     1     6
  2.6979814586682227E-01 a       202     0    14     1     7
 -4.8841147760805798E-01 a       203     0    14     1     8
 -1.5233755410135099E+00 a       204     0    14     1     9
 -2.3516142586456805E+00 a       205     0    14     1    10
 -2.9966371590379864E-01 a       206     0    14     1    11
  2.2348899988277537E-01 a       207     0    14     1    12
  2.0230806877405325E-01 a       208     0    14     1    13
  6.6663476490523413E-02 a       209     0    14     1    14
 -9.9347054598527373E-01 a       210     0    14     1    15
  3.9229590493239253E-01 a       211     0    15     1     1
 -1.9496777206350768E+00 a       212     0    15     1     2
 -3.6565402669962943E-01 a       213     0    15     1     3
  6.9640447749429246E-01 a       214     0    15     1     4
  8.1351502689175667E-02 a       215     0    15     1     5
  1.7125067788844759E+00 a       216     0    15     1     6
 -1.1156931822148595E+00 a       217     0    15     1     7
 -5.2414832668766476E-01 a       218     0    15     1     8
 -6.2777005342519909E-01 a       219     0    15     1     9
  1.5645242004928488E+00 a       220     0    15     1    10
 -2.3014133944912527E+00 a       221     0    15     1    11
 -1.0372200815391495E+00 a       222     0    15     1    12
 -3.2431213263813818E-01 a       223     0    15     1    13
 -2.4517572701998552E-01 a       224     0    15     1    14
  3.3739185506964697E-01 a       225     0    15     1    15
 -1.1955190770114994E+00 a       226     0    16     1     1
 -1.1214864782307430E+00 a       227     0    16     1     2
 -1.6842246069138707E-02 a       228     0    16     1     3
 -6.0830504963341310E-02 a       229     0    16     1     4
 -4.2775782176180049E-01 a       230     0    16     1     5
 -4.3951974571699914E-01 a       231     0    16     1     6
 -3.2110611203384509E-01 a       232     0    16     1     7
  2.5953875306268664E-01 a       233     0    16     1     8
  8.1836330522932299E-01 a       234     0    16     1     9
 -6.0974651614120520E-03 a       235     0    16     1    10
  7.2798994893446911E-01 a       236     0    16     1    11
 -3.8586269827567787E-01 a       237     0    16     1    12
 -5.5656986550891929E-01 a       238     0    16     1    13
  1.0978683792901731E-01 a       239     0    16     1    14
  8.6730973967449121E-01 a       240     0    16     1    15
  1.4945250806689889E-03 a       241     0    17     1     1
  5.4491631498624538E-01 a       242     0    17     1     2
 -9.3438455562330203E-01 a       243     0    17     1     3
 -4.0389856855397227E-01 a       244     0    17     1     4
 -1.3518708915265729E+00 a       245     0    17     1     5
 -4.1590686979527103E-01 a       246     0    17     1     6
 -6.9961304074201341E-02 a       247     0    17     1     7
  9.8435065600231786E-01 a       248     0    17     1     8
  4.7436889199530474E-01 a       249     0    17     1     9
 -4.3268719405651118E-01 a       250     0    17     1    10
 -1.9176116970222590E-01 a       251     0    17     1    11
  2.5170531032358695E-01 a       252     0    17     1    12
 -1.0530754064898149E+00 a       253     0    17     1    13
 -1.1931996626491836E+00 a       254     0    17     1    14
 -5.9083964162415936E-01 a       255     0    17     1    15
  1.4673768099445900E-01 a       256     0    18     1     1
  8.6576112633411959E-02 a       257     0    18     1     2
 -2.8199383116397808E-01 a       258     0    18     1     3
  6.6409901232740465E-01 a       259     0    18     1     4
 -2.9583423988565175E-02 a       260     0    18     1     5
  5.0431347889391576E-01 a       261     0    18     1     6
  4.4860224193757309E-01 a       262     0    18     1     7
 -7.1797281439053362E-01 a       263     0    18     1     8
  6.4236189444474678E-01 a       264     0    18     1     9
  4.1505319281258418E-01 a       265     0    18     1    10
 -6.0165477556348279E-01 a       266     0    18     1    11
  4.6911493420636263E-01 a       267     0    18     1    12
  1.8697660345167406E+00 a       268     0    18     1    13
  4.2013018189495188E-01 a       269     0    18     1    14
 -1.0180238959779973E+00 a       270     0    18     1    15
 -5.1698719589684294E-01 a       271     0    19     1     1
  1.9017748116583379E+00 a       272     0    19     1     2
  2.1689742616432093E+00 a       273     0    19     1     3
 -1.4344672048855196E+00 a       274     0    19     1     4
  6.5570231527286238E-01 a       275     0    19     1     5
 -1.7269813949759893E+00 a       276     0    19     1     6
 -1.7897234020443614E-01 a       277     0    19     1     7
 -2.0826915438913800E+00 a       278     0    19     1     8
  2.2820303081007532E-03 a       279     0    19     1     9
  1.9949872553097454E+00 a       280     0    19     1    10
 -1.0429763551754363E+00 a       281     0    19     1    11
 -1.1493699442907566E+00 a       282     0    19     1    12
 -1.2157438111437477E+00 a       283     0    19     1    13
  5.3287501363264256E-01 a       284     0    19     1    14
 -4.8999649176421001E-01 a       285     0    19     1    15
  1.2563107840470027E+00 a       286     0    20     1     1
 -8.9386044467597764E-02 a       287     0    20     1     2
 -8.7969312651560369E-02 a       288     0    20     1     3
  5.2606214597357259E-01 a       289     0    20     1     4
 -2.5050373016158567E-01 a       290     0    20     1     5
  1.4427938217743697E+00 a       291     0    20     1     6
  5.5909751236986105E-01 a       292     0    20     1     7
 -7.4976182495882171E-01 a       293     0    20     1     8
 -1.1702570751983037E+00 a       294     0    20     1     9
  3.9114797840498394E-01 a       295     0    20     1    10
 -5.9502214282565291E-01 a       296     0    20     1    11
  6.3629771645648647E-01 a       297     0    20     1    12
  1.7017204470254494E+00 a       298     0    20     1    13
 -9.2334645376603974E-01 a       299     0    20     1    14
  1.2761458259289915E+00 a       300     0    20     1    15
 -1.0713480614904745E+00 a       301     0    21     1     1
 -5.0665184582666417E-02 a       302     0    21     1     2
  1.5402114388965014E+00 a       303     0    21     1     3
  1.3542229088422761E-01 a       304     0    21     1     4
  1.6329903752855363E-01 a       305     0    21     1     5
  8.8650830451094165E-01 a       306     0    21     1     6
 -7.6409743917891360E-01 a       307     0    21     1     7
 -5.9174533668036411E-01 a       308     0    21     1     8
 -3.5425806641876784E-01 a       309     0    21     1     9
 -3.6153318885421060E-01 a       310     0    21     1    10
  1.2465763392893248E+00 a       311     0    21     1    11
 -1.0335323941901473E+00 a       312     0    21     1    12
  7.9627149131693165E-01 a       313     0    21     1    13
 -4.2267686929822051E-01 a       314     0    21     1    14
 -4.9133440240923926E-01 a       315     0    21     1    15
  5.2063797177780091E-01 a       316     0    22     1     1
 -4.1068109080025511E-01 a       317     0    22     1     2
 -8.6811257145392984E-01 a       318     0    22     1     3
  3.2649899100815477E-01 a       319     0    22     1     4
 -5.2257192426534704E-01 a       320     0    22     1     5
 -4.3501420106462474E-01 a       321     0    22     1     6
 -1.9496941453777433E-01 a       322     0    22     1     7
  1.2943595636064313E+00 a       323     0    22     1     8
 -2.3517170515303800E-02 a       324     0    22     1     9
