################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -4.3006935789297729E-01 a         1     0     1     1     1
  1.1530793154422758E+00 a         2     0     1     1     2
 -5.5058005803994732E-03 a         3     0     1     1     3
 -5.0423859368677071E-01 a         4     0     1     1     4
 -7.0547008582954110E-02 a         5     0     1     1     5
 -2.0934090492084376E-01 a         6     0     1     1     6
 -7.7447199735957151E-01 a         7     0     1     1     7
 -4.9368969534744056E-01 a         8     0     1     1     8
  3.3399455087523916E-01 a         9     0     1     1     9
  4.3697850097880159E-01 a        10     0     1     1    10
  1.0582161772703838E-02 a        11     0     1     1    11
  8.1357953011805029E-01 a        12     0     1     1    12
  3.2349793470977811E-01 a        13     0     1     1    13
  4.1195266589207374E-01 a        14     0     1     1    14
  4.2855251365509654E-02 a        15     0     1     1    15
 -2.7355102045138127E+00 a        16     0     2     1     1
 -9.1289927532817527E-01 a        17     0     2     1     2
  1.7010624291218259E+00 a        18     0     2     1     3
  6.7932522760980729E-01 a        19     0     2     1     4
  4.7006563761163350E-01 a        20     0     2     1     5
  6.9490113265956799E-01 a        21     0     2     1     6
  4.7938667013474839E-01 a        22     0     2     1     7
  4.9116723672501300E-01 a        23     0     2     1     8
 -2.0526381258456633E-01 a        24     0     2     1     9
 -2.3280896821568539E-01 a        25     0     2     1    10
  1.1771053414536490E+00 a        26     0     2     1    11
 -1.1211613447693647E-01 a        27     0     2     1    12
  5.9540113150092833E-01 a        28     0     2     1    13
 -1.2225918975809569E+00 a        29     0     2     1    14
  6.6225097004393818E-01 a        30     0     2     1    15
  1.0681166404494893E+00 a        31     0     3     1     1
  9.2256659513415784E-01 a        32     0     3     1     2
 -1.3688795624839030E+00 a        33     0     3     1     3
 -5.7539456111610943E-01 a        34     0     3     1     4
 -2.0256624922867728E-01 a        35     0     3     1     5
 -7.2674583731724784E-01 a        36     0     3     1     6
  8.3577840409859078E-02 a        37     0     3     1     7
 -6.0939352225937014E-02 a        38     0     3     1     8
 -2.5357605091551111E-03 a        39     0     3     1     9
  2.9219345500897798E-01 a        40     0     3     1    10
 -3.4929377693992396E-02 a        41     0     3     1    11
 -8.7075235221176814E-02 a        42     0     3     1    12
 -4.8129395936750768E-01 a        43     0     3     1    13
  9.4412607556155825E-01 a        44     0     3     1    14
 -5.5564943060523730E-01 a        45     0     3     1    15
  1.2093682205420584E+00 a        46     0     4     1     1
  1.2244855323119178E-01 a        47     0     4     1     2
 -1.8440529750877506E+00 a        48     0     4     1     3
 -9.3803166350358749E-02 a        49     0     4     1     4
 -1.1711860267388969E+00 a        50     0     4     1     5
  2.9891039496757515E-01 a        51     0     4     1     6
  1.0695969104761005E+00 a        52     0     4     1     7
  2.7677456178677895E-01 a        53     0     4     1     8
  1.9283746029535950E-01 a        54     0     4     1     9
 -6.4632042950463653E-02 a        55     0     4     1    10
 -1.7876675134819797E+00 a        56     0     4     1    11
 -7.4552685350407322E-01 a        57     0     4     1    12
  2.2222520606965343E-01 a        58     0     4     1    13
  6.9587369373243801E-01 a        59     0     4     1    14
  1.3162734975236040E-01 a        60     0     4     1    15
  5.4182933151667689E-01 a        61     0     5     1     1
 -8.1144618548617564E-01 a        62     0     5     1     2
  1.9087096384398716E+00 a        63     0     5     1     3
  2.4454925734279934E-01 a        64     0     5     1     4
  1.3815450453892406E+00 a        65     0     5     1     5
 -3.9481185291924520E-01 a        66     0     5     1     6
  1.2114587226242801E-01 a        67     0     5     1     7
 -1.6537568072198336E-01 a        68     0     5     1     8
 -7.4226450124548360E-01 a        69     0     5     1     9
  1.9774316344064063E-01 a        70     0     5     1    10
  9.4087475602231041E-01 a        71     0     5     1    11
  1.1004376297395153E+00 a        72     0     5     1    12
 -6.2498196138496065E-01 a        73     0     5     1    13
 -6.2977676601110300E-01 a        74     0     5     1    14
 -9.3862352797694237E-01 a        75     0     5     1    15
  2.6670212513512239E+00 a        76     0     6     1     1
  1.2203178964154185E-01 a        77     0     6     1     2
 -5.1555392482951223E-01 a        78     0     6     1     3
 -3.1971278216033253E-02 a        79     0     6     1     4
  2.8994052360536138E-01 a        80     0     6     1     5
  6.9708514550967340E-02 a        81     0     6     1     6
 -8.6566702631371817E-01 a        82     0     6     1     7
  7.4842084144319615E-02 a        83     0     6     1     8
  1.3971502297280097E-01 a        84     0     6     1     9
