################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  5.7324083124436587E-01 a         1     0     1     1     1
  3.0204225980338545E-01 a         2     0     1     1     2
 -1.1856435222515510E-01 a         3     0     1     1     3
 -3.2732673634357973E-01 a         4     0     1     1     4
  7.8546932857264717E-02 a         5     0     1     1     5
  2.2247313247186368E-01 a         6     0     1     1     6
 -4.9457332966704470E-01 a         7     0     1     1     7
  1.9133094406042751E-02 a         8     0     1     1     8
  2.1883199222195834E-01 a         9     0     1     1     9
 -2.8477877544945945E-01 a        10     0     1     1    10
 -5.8541200098868970E-02 a        11     0     1     1    11
  2.2494598751663539E-01 a        12     0     1     1    12
  1.5746623555866093E-01 a        13     0     1     1    13
  4.3218815185196802E-01 a        14     0     1     1    14
  1.1278544555576370E-01 a        15     0     1     1    15
 -8.2079034380238081E-01 a        16     0     2     1     1
 -6.5386428990358569E-01 a        17     0     2     1     2
 -8.2098068245142219E-01 a        18     0     2     1     3
  3.7570140558416365E-01 a        19     0     2     1     4
 -5.2475271692706016E-01 a        20     0     2     1     5
 -4.6166461620620408E-01 a        21     0     2     1     6
  8.8017761273167006E-01 a        22     0     2     1     7
 -4.4897337751328725E-01 a        23     0     2     1     8
 -6.7047820820808124E-01 a        24     0     2     1     9
  3.1837541647159595E-01 a        25     0     2     1    10
  3.0198754741295725E-01 a        26     0     2     1    11
 -1.5256438845729856E-01 a        27     0     2     1    12
  7.1302398020840818E-01 a        28     0     2     1    13
 -4.2934191505155078E-01 a        29     0     2     1    14
  1.5614162355824421E-02 a        30     0     2     1    15
 -2.8431279074407007E-01 a        31     0     3     1     1
  6.3304276858544881E-02 a        32     0     3     1     2
  6.7642458263083616E-01 a        33     0     3     1     3
  2.9144104882616290E-01 a        34     0     3     1     4
 -1.8981383557177159E-03 a        35     0     3     1     5
  4.9116928472124838E-03 a        36     0     3     1     6
 -6.5520375355632265E-02 a        37     0     3     1     7
  6.6281818746005683E-01 a        38     0     3     1     8
 -1.3106562024755283E-01 a        39     0     3     1     9
  3.1521546954229152E-01 a        40     0     3     1    10
 -3.6069809228353072E-01 a        41     0     3     1    11
  1.6044221162143296E-01 a        42     0     3     1    12
 -2.9476360715120020E-01 a        43     0     3     1    13
 -3.6087822129064900E-01 a        44     0     3     1    14
 -6.3827552610144875E-02 a        45     0     3     1    15
  4.7506463869712473E-01 a        46     0     4     1     1
  2.8375070522879098E-01 a        47     0     4     1     2
  2.7306566892315143E-01 a        48     0     4     1     3
 -3.6948791216081667E-01 a        49     0     4     1     4
  3.8965818859444384E-01 a        50     0     4     1     5
  4.3110675063525444E-01 a        51     0     4     1     6
 -4.0977029215403082E-01 a        52     0     4     1     7
  4.4240912304056779E-01 a        53     0     4     1     8
  3.1535269542752836E-01 a        54     0     4     1     9
  1.9065348780632391E-02 a        55     0     4     1    10
 -1.7680244273774134E-01 a        56     0     4     1    11
  4.4824930378468986E-01 a        57     0     4     1    12
 -9.8148487557632080E-01 a        58     0     4     1    13
  5.2197146030690610E-02 a        59     0     4     1    14
  2.5576054513475560E-01 a        60     0     4     1    15
 -5.2912433973655060E-01 a        61     0     5     1     1
 -2.0997733810574373E-01 a        62     0     5     1     2
 -8.1754169037757674E-03 a        63     0     5     1     3
  4.1978665586060004E-02 a        64     0     5     1     4
 -5.5137376650688175E-01 a        65     0     5     1     5
 -8.7859061255256138E-02 a        66     0     5     1     6
 -3.8496811353006161E-01 a        67     0     5     1     7
 -6.7826929407977721E-01 a        68     0     5     1     8
  6.1447467908105158E-01 a        69     0     5     1     9
 -5.6826227986296407E-01 a        70     0     5     1    10
  7.6523113808236676E-02 a        71     0     5     1    11
 -1.2065582776639820E+00 a        72     0     5     1    12
  8.7312248708107365E-01 a        73     0     5     1    13
 -3.6964139537784579E-01 a        74     0     5     1    14
 -6.7799622904150772E-02 a        75     0     5     1    15
  4.8335301638817191E-01 a        76     0     6     1     1
  4.4943120583668744E-01 a        77     0     6     1     2
 -4.1055654220201271E-02 a        78     0     6     1     3
 -3.3157400111285346E-02 a        79     0     6     1     4
  3.2849848802195042E-01 a        80     0     6     1     5
 -2.3810950323187752E-01 a        81     0     6     1     6
