################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -7.3093686677055056E-02 a         1     0     1     1     1
  2.3544138355520109E-02 a         2     0     1     1     2
  9.3583391457949139E-02 a         3     0     1     1     3
 -5.3079839541395679E-01 a         4     0     1     1     4
  2.0999016815847668E-01 a         5     0     1     1     5
  3.4664600204485857E-01 a         6     0     1     1     6
  4.1863187578469863E-01 a         7     0     1     1     7
 -4.7909587949516974E-01 a         8     0     1     1     8
 -2.3864105941078873E-01 a         9     0     1     1     9
  6.4867998849281050E-01 a        10     0     1     1    10
  2.3749803276025025E-01 a        11     0     1     1    11
 -3.0524738184684341E-01 a        12     0     1     1    12
  1.7754818344774526E-01 a        13     0     1     1    13
  2.1448386046581872E-01 a        14     0     1     1    14
  2.3194884107837543E-01 a        15     0     1     1    15
  8.5881202787393229E-01 a        16     0     2     1     1
 -5.1165291604068419E-01 a        17     0     2     1     2
 -5.7217641426260557E-01 a        18     0     2     1     3
 -3.2085438143568190E-01 a        19     0     2     1     4
 -2.4922440026104326E-01 a        20     0     2     1     5
  2.9790578413726534E-02 a        21     0     2     1     6
 -4.1225170800937810E-01 a        22     0     2     1     7
 -5.3006211647843193E-01 a        23     0     2     1     8
  5.4338407794635157E-01 a        24     0     2     1     9
 -1.1000183524106917E+00 a        25     0     2     1    10
  2.6541324434050118E-01 a        26     0     2     1    11
  2.1966004470650757E-01 a        27     0     2     1    12
 -8.0761459982318518E-01 a        28     0     2     1    13
  2.2202474779497069E-01 a        29     0     2     1    14
 -7.6429559514935271E-03 a        30     0     2     1    15
 -7.4978462192627660E-01 a        31     0     3     1     1
 -4.6106841628029349E-01 a        32     0     3     1     2
  3.6421356061539636E-02 a        33     0     3     1     3
  1.1451670259223758E+00 a        34     0     3     1     4
 -1.0610997429263055E-01 a        35     0     3     1     5
 -1.3414213836057762E-01 a        36     0     3     1     6
 -7.1913287512365487E-01 a        37     0     3     1     7
  1.6283380476802207E+00 a        38     0     3     1     8
  4.2719633812491725E-01 a        39     0     3     1     9
 -7.1160965279864319E-01 a        40     0     3     1    10
 -6.5623349997347147E-02 a        41     0     3     1    11
 -4.7128461175879677E-03 a        42     0     3     1    12
 -3.5455416675589790E-01 a        43     0     3     1    13
 -7.8616913636775129E-02 a        44     0     3     1    14
  1.4220425849120488E-01 a        45     0     3     1    15
 -1.1716686524256288E+00 a        46     0     4     1     1
  1.3501408955480252E+00 a        47     0     4     1     2
  8.4303250773972738E-01 a        48     0     4     1     3
  7.3550147104740138E-01 a        49     0     4     1     4
 -1.2232867051130636E-01 a        50     0     4     1     5
 -3.6873042858426758E-01 a        51     0     4     1     6
  2.3172208813744771E-01 a        52     0     4     1     7
  1.1957055057019790E+00 a        53     0     4     1     8
 -9.9870912597120587E-01 a        54     0     4     1     9
  1.2352780688392904E+00 a        55     0     4     1    10
 -1.3828744571421541E+00 a        56     0     4     1    11
  1.8044175612069316E-01 a        57     0     4     1    12
  9.2971235451171064E-01 a        58     0     4     1    13
 -8.2031266974223693E-01 a        59     0     4     1    14
 -1.6492154374806394E+00 a        60     0     4     1    15
  1.3735137992036983E+00 a        61     0     5     1     1
  3.6684307946270611E-01 a        62     0     5     1     2
 -6.5753474249403454E-01 a        63     0     5     1     3
 -1.0066953701003052E+00 a        64     0     5     1     4
 -2.3570786256874118E-01 a        65     0     5     1     5
 -4.5206246413340795E-01 a        66     0     5     1     6
  1.4866528026213504E+00 a        67     0     5     1     7
 -2.4576782221536408E+00 a        68     0     5     1     8
 -6.1309966881824896E-01 a        69     0     5     1     9
