################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.0154305362906104E+00 a         1     0     1     1     1
  5.3379256273984477E-01 a         2     0     1     1     2
  6.8975487817771339E-02 a         3     0     1     1     3
  2.2273264304485801E-01 a         4     0     1     1     4
 -2.3131470217163979E+00 a         5     0     1     1     5
 -1.5381506349084262E-01 a         6     0     1     1     6
  1.5765644985611886E+00 a         7     0     1     1     7
 -6.8869637425551786E-02 a         8     0     1     1     8
 -9.6551423732335995E-02 a         9     0     1     1     9
  5.4779621924615174E-01 a        10     0     1     1    10
  3.8918850209106948E-01 a        11     0     1     1    11
 -8.5398111006376198E-01 a        12     0     1     1    12
 -4.4029678783457837E-01 a        13     0     1     1    13
  1.9355192837798261E+00 a        14     0     1     1    14
  6.4367750261395698E-02 a        15     0     1     1    15
  1.0788826654807326E+00 a        16     0     2     1     1
  7.8995748030546387E-01 a        17     0     2     1     2
 -1.1300294895893122E+00 a        18     0     2     1     3
 -1.2009127908023723E-01 a        19     0     2     1     4
  9.7050998109876063E-01 a        20     0     2     1     5
  7.3343001589250306E-02 a        21     0     2     1     6
  1.6723435149027377E-01 a        22     0     2     1     7
 -9.5636200648206093E-01 a        23     0     2     1     8
 -4.4553664870184223E-01 a        24     0     2     1     9
 -3.8978128612386870E-01 a        25     0     2     1    10
  5.8880371360733930E-01 a        26     0     2     1    11
 -2.6515461493475079E-01 a        27     0     2     1    12
 -1.3069593604670580E+00 a        28     0     2     1    13
 -1.3439639530781025E+00 a        29     0     2     1    14
 -4.5083898110023035E-01 a        30     0     2     1    15
 -2.2461044646436876E-01 a        31     0     3     1     1
  4.2503524907916573E-01 a        32     0     3     1     2
  2.5732256831103850E-01 a        33     0     3     1     3
 -6.5339491851127154E-02 a        34     0     3     1     4
 -5.0055417810751990E-01 a        35     0     3     1     5
 -1.9781200534642962E-01 a        36     0     3     1     6
  4.8056570611645666E-01 a        37     0     3     1     7
 -6.3891305293687817E-01 a        38     0     3     1     8
 -9.8370800996118890E-02 a        39     0     3     1     9
  2.4808860226465679E-01 a        40     0     3     1    10
  1.9153768315138281E-01 a        41     0     3     1    11
  2.0719632536044186E-01 a        42     0     3     1    12
  6.6351859156900606E-01 a        43     0     3     1    13
 -1.3547757303931713E+00 a        44     0     3     1    14
  3.5281094773717164E-01 a        45     0     3     1    15
 -1.4074815916666141E+00 a        46     0     4     1     1
 -3.1389263075309870E-01 a        47     0     4     1     2
  7.9193932627907571E-01 a        48     0     4     1     3
  1.4899381025925484E-01 a        49     0     4     1     4
 -4.5159399803800349E-01 a        50     0     4     1     5
  5.6717201847222198E-01 a        51     0     4     1     6
  3.3537642826607927E-02 a        52     0     4     1     7
  1.3963817257739406E+00 a        53     0     4     1     8
  9.3497933007277670E-02 a        54     0     4     1     9
 -1.2204189607311398E-01 a        55     0     4     1    10
 -5.4353353206561472E-01 a        56     0     4     1    11
  1.1166796079986343E+00 a        57     0     4     1    12
  1.7147555274558118E-01 a        58     0     4     1    13
  2.3064098729817188E+00 a        59     0     4     1    14
 -9.4345072101556415E-01 a        60     0     4     1    15
  7.5652552895305425E-01 a        61     0     5     1     1
