################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  4.9539104331475764E-02 a       117     0     8     1    12
  7.6265481411512659E-01 a       118     0     8     1    13
  2.5278763078654704E-01 a       119     0     8     1    14
  2.8606119920655043E-01 a       120     0     8     1    15
 -5.8111258008122590E-01 a       121     0     9     1     1
  4.7066677433515808E-01 a       122     0     9     1     2
 -3.8390551036583781E-01 a       123     0     9     1     3
 -7.1124517058114012E-01 a       124     0     9     1     4
  2.8162046839705718E-01 a       125     0     9     1     5
 -1.0096677965757613E-01 a       126     0     9     1     6
  2.4217552710024595E-02 a       127     0     9     1     7
  3.7677948053925636E-01 a       128     0     9     1     8
 -5.8692356154509584E-01 a       129     0     9     1     9
 -8.1602619041132296E-01 a       130     0     9     1    10
 -1.7810152813112523E-01 a       131     0     9     1    11
 -4.2501716919434729E-01 a       132     0     9     1    12
 -5.9180258601233882E-01 a       133     0     9     1    13
  7.6522694275617142E-02 a       134     0     9     1    14
 -3.8564838116097738E-01 a       135     0     9     1    15
  2.1388499034844047E-01 a       136     0    10     1     1
 -1.7093957240464494E-01 a       137     0    10     1     2
 -4.5987396430262895E-01 a       138     0    10     1     3
 -5.6761687522918980E-01 a       139     0    10     1     4
  1.2954145127682762E-01 a       140     0    10     1     5
  2.7795268083004671E-01 a       141     0    10     1     6
  5.9596486217827427E-01 a       142     0    10     1     7
  1.7995263766565728E-01 a       143     0    10     1     8
 -1.6391789758697543E-02 a       144     0    10     1     9
 -1.2519783222110092E-01 a       145     0    10     1    10
 -2.9285750926398912E-01 a       146     0    10     1    11
  4.1606210556115304E-02 a       147     0    10     1    12
 -5.4791926078638109E-01 a       148     0    10     1    13
  8.4011524851524411E-03 a       149     0    10     1    14
  3.4602166706677956E-01 a       150     0    10     1    15
 -3.2780421912168489E-01 a       151     0    11     1     1
 -5.6581241444766350E-01 a       152     0    11     1     2
  5.1131888909768530E-01 a       153     0    11     1     3
  3.7825105258426528E-01 a       154     0    11     1     4
 -5.3066469254908577E-01 a       155     0    11     1     5
 -2.8672486554266385E-01 a       156     0    11     1     6
  7.7580370386993580E-01 a       157     0    11     1     7
 -6.3640662210873600E-01 a       158     0    11     1     8
  3.5437715376780343E-01 a       159     0    11     1     9
  7.0497033532488196E-01 a       160     0    11     1    10
 -4.4135265241004684E-01 a       161     0    11     1    11
  2.0435774797404038E-01 a       162     0    11     1    12
  2.2821950990305415E-01 a       163     0    11     1    13
 -4.0095124623287876E-01 a       164     0    11     1    14
  2.0709986788378543E-01 a       165     0    11     1    15
  2.5362495509061245E-01 a       166     0    12     1     1
  1.0760177728607695E-01 a       167     0    12     1     2
  3.1788720093365426E-02 a       168     0    12     1     3
  4.7846469760567042E-02 a       169     0    12     1     4
 -1.3811834295756972E-01 a       170     0    12     1     5
 -1.9959894830240965E-02 a       171     0    12     1     6
 -7.0471121308988166E-02 a       172     0    12     1     7
 -1.3990058253362565E-02 a       173     0    12     1     8
  2.5236473149556415E-01 a       174     0    12     1     9
  9.8907417929973124E-02 a       175     0    12     1    10
  5.1964880631917856E-02 a       176     0    12     1    11
  2.0136599833407925E-01 a       177     0    12     1    12
  2.0765627295231009E-01 a       178     0    12     1    13
  7.9241068342877904E-02 a       179     0    12     1    14
 -2.1833561727556666E-01 a       180     0    12     1    15
  4.4856940168831894E-01 a       181     0    13     1     1
 -3.8271328231763206E-02 a       182     0    13     1     2
 -3.7443455936075493E-01 a       183     0    13     1     3
 -3.4753926120172635E-01 a       184     0    13     1     4
 -3.4815458798670074E-01 a       185     0    13     1     5
  6.6131672008183207E-02 a       186     0    13     1     6
  1.6885108512459521E-01 a       187     0    13     1     7
  3.5193119857675997E-01 a       188     0    13     1     8
 -2.2734932278518480E-01 a       189     0    13     1     9
 -6.3802014653351047E-01 a       190     0    13     1    10
  5.5955057080472415E-01 a       191     0    13     1    11
 -1.3544812345013897E-02 a       192     0    13     1    12
 -4.3573648301005846E-01 a       193     0    13     1    13
  4.2380121437477852E-01 a       194     0    13     1    14
 -2.3422739373872181E-01 a       195     0    13     1    15
  4.1849125640766482E-02 a       196     0    14     1     1
  8.6043796537648459E-02 a       197     0    14     1     2
  2.4592432720962894E-02 a       198     0    14     1     3
 -1.4716941381504642E-01 a       199     0    14     1     4
  4.6200699414435309E-01 a       200     0    14     1     5
 -5.6489067234436814E-02 a       201     0    14     1     6
  5.6708477599066748E-02 a       202     0    14     1     7
  6.7396961885192799E-02 a       203     0    14     1     8
 -1.2812234574189075E-02 a       204     0    14     1     9
 -1.0526621234928655E-02 a       205     0    14     1    10
  9.3166196614849803E-02 a       206     0    14     1    11
  6.0140654748323287E-02 a       207     0    14     1    12
 -2.6398848874678691E-03 a       208     0    14     1    13
 -9.4850336230664509E-02 a       209     0    14     1    14
  9.6942021873959259E-03 a       210     0    14     1    15
 -3.1491283551417443E-01 a       211     0    15     1     1
  1.7629042520860626E-02 a       212     0    15     1     2
 -1.0119842722583447E-02 a       213     0    15     1     3
  2.3089496274629404E-01 a       214     0    15     1     4
  7.9705959907098143E-04 a       215     0    15     1     5
  2.7545124313533026E-01 a       216     0    15     1     6
 -1.0625111664287640E-01 a       217     0    15     1     7
  1.3174092879137225E-01 a       218     0    15     1     8
 -2.6382862994664263E-01 a       219     0    15     1     9
 -2.6959333614277124E-02 a       220     0    15     1    10
 -4.3893490641928917E-01 a       221     0    15     1    11
  2.8107029326719579E-01 a       222     0    15     1    12
  7.8629192909618173E-02 a       223     0    15     1    13
 -4.5167930317504190E-01 a       224     0    15     1    14
  1.2501012721531796E-01 a       225     0    15     1    15
  6.5739451386571821E-02 a       226     0    16     1     1
  3.7629009221057108E-02 a       227     0    16     1     2
  6.0888670613587575E-02 a       228     0    16     1     3
  3.2548167538688708E-02 a       229     0    16     1     4
 -8.6641536430467313E-03 a       230     0    16     1     5
  7.3444296396564628E-03 a       231     0    16     1     6
  3.9100171896139756E-02 a       232     0    16     1     7
  6.7439586044594872E-03 a       233     0    16     1     8
  4.7696499782706441E-03 a       234     0    16     1     9
  3.7179816063353056E-02 a       235     0    16     1    10
  6.2423812627933319E-02 a       236     0    16     1    11
 -1.2162651524033632E-02 a       237     0    16     1    12
 -1.1943947870520985E-02 a       238     0    16     1    13
  4.7779711218466615E-02 a       239     0    16     1    14
 -2.1057341967821851E-02 a       240     0    16     1    15
  1.4676863053432909E-01 a       241     0    17     1     1
 -3.5441088888035105E-01 a       242     0    17     1     2
 -5.4577806396926409E-01 a       243     0    17     1     3
 -1.3723649057051276E-01 a       244     0    17     1     4
 -1.6100255720353351E-01 a       245     0    17     1     5
  3.8478688439203469E-02 a       246     0    17     1     6
 -6.8717584615216529E-02 a       247     0    17     1     7
  1.4544408521907901E-01 a       248     0    17     1     8
  1.9214862872264293E-01 a       249     0    17     1     9
  1.2265565609169481E-01 a       250     0    17     1    10
 -5.3249685387789725E-01 a       251     0    17     1    11
 -5.4002797033848422E-02 a       252     0    17     1    12
 -1.7977400093064985E-01 a       253     0    17     1    13
 -5.4200257636661787E-02 a       254     0    17     1    14
 -1.7169814602859854E-01 a       255     0    17     1    15
  2.7683706709972777E-02 a       256     0    18     1     1
  4.9876971797881017E-02 a       257     0    18     1     2
  2.3402138822594107E-02 a       258     0    18     1     3
  5.8094736318080348E-02 a       259     0    18     1     4
  1.6561722834402565E-01 a       260     0    18     1     5
  1.5337631777177209E-02 a       261     0    18     1     6
 -5.7581065421517301E-02 a       262     0    18     1     7
  1.5707385104184089E-02 a       263     0    18     1     8
 -6.7766059925342898E-03 a       264     0    18     1     9
 -4.3615209821912942E-02 a       265     0    18     1    10
  1.5703276303778746E-01 a       266     0    18     1    11
  3.6229853358300590E-02 a       267     0    18     1    12
  1.0150432321212294E-01 a       268     0    18     1    13
  7.4518047200359807E-03 a       269     0    18     1    14
  6.2920744856686098E-02 a       270     0    18     1    15
 -2.0739641340138146E-01 a       271     0    19     1     1
  4.5933868752327683E-01 a       272     0    19     1     2
  3.5278061132583022E-01 a       273     0    19     1     3
 -3.5320386887127536E-01 a       274     0    19     1     4
  7.9261616420830378E-02 a       275     0    19     1     5
 -2.3060523353393114E-01 a       276     0    19     1     6
  3.0253514362678519E-01 a       277     0    19     1     7
  6.9149380053761506E-02 a       278     0    19     1     8
  1.7449880488734940E-01 a       279     0    19     1     9
  4.7841790876277457E-01 a       280     0    19     1    10
  2.2799395804876960E-02 a       281     0    19     1    11
 -9.9135445108181897E-02 a       282     0    19     1    12
 -1.0958605652630478E-01 a       283     0    19     1    13
  1.2984539053998123E-01 a       284     0    19     1    14
 -2.5586457511070887E-01 a       285     0    19     1    15
  1.1155343294260278E-01 a       286     0    20     1     1
 -9.9716708354459366E-02 a       287     0    20     1     2
 -6.2840704542350148E-02 a       288     0    20     1     3
  1.5287825918952364E-01 a       289     0    20     1     4
  2.5635251488043970E-01 a       290     0    20     1     5
 -1.1392095154143390E-02 a       291     0    20     1     6
 -2.6215349196977450E-01 a       292     0    20     1     7
 -1.3146887716141429E-02 a       293     0    20     1     8
 -1.8347597919741795E-01 a       294     0    20     1     9
 -3.7162710669501890E-03 a       295     0    20     1    10
  2.2897140194814394E-01 a       296     0    20     1    11
 -1.4566376519165722E-02 a       297     0    20     1    12
  1.2971487378637311E-01 a       298     0    20     1    13
 -1.4066633275589790E-01 a       299     0    20     1    14
  1.4800508364178544E-01 a       300     0    20     1    15
 -2.5775954069327200E-01 a       301     0    21     1     1
  4.4970467860071295E-01 a       302     0    21     1     2
  3.8280774895869396E-01 a       303     0    21     1     3
  8.9854994920298137E-02 a       304     0    21     1     4
 -2.5752666827804700E-02 a       305     0    21     1     5
 -2.1603014435310150E-01 a       306     0    21     1     6
  3.1514892793994431E-01 a       307     0    21     1     7
 -1.3235938898040106E-01 a       308     0    21     1     8
 -3.1682682079751373E-01 a       309     0    21     1     9
 -1.7560802761799549E-01 a       310     0    21     1    10
  6.7115697633493299E-01 a       311     0    21     1    11
  7.8563431526377944E-02 a       312     0    21     1    12
  3.9202125649066111E-01 a       313     0    21     1    13
 -1.5854320836699584E-01 a       314     0    21     1    14
  8.7577937244819090E-02 a       315     0    21     1    15
 -5.6687140323193018E-02 a       316     0    22     1     1
 -2.1766433497736953E-01 a       317     0    22     1     2
 -3.0035780350235297E-01 a       318     0    22     1     3
  2.2176391592592035E-02 a       319     0    22     1     4
 -6.5403778769358822E-01 a       320     0    22     1     5
  2.9383365150324237E-01 a       321     0    22     1     6
 -8.8822481184368932E-02 a       322     0    22     1     7
  1.9695008578819595E-01 a       323     0    22     1     8
  4.3663580443364064E-01 a       324     0    22     1     9
 -3.8416110479664750E-01 a       325     0    22     1    10
 -2.5169076817072983E-01 a       326     0    22     1    11
  1.4926856492548049E-01 a       327     0    22     1    12
 -1.5755470584308054E-01 a       328     0    22     1    13
  4.9014476001007723E-02 a       329     0    22     1    14
  8.6942779063172312E-02 a       330     0    22     1    15
 -3.6073457348736004E-01 a       331     0    23     1     1
  8.7949892627172035E-03 a       332     0    23     1     2
 -1.5238402182726246E-01 a       333     0    23     1     3
  5.8910689971530061E-01 a       334     0    23     1     4
