################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.5779586130650420E-01 a         1     0     1     1     1
 -4.1760171001596857E-01 a         2     0     1     1     2
 -3.0163178620788222E-01 a         3     0     1     1     3
 -1.3842062761915358E-02 a         4     0     1     1     4
 -8.7884562934584654E-01 a         5     0     1     1     5
 -6.2684105845014521E-02 a         6     0     1     1     6
  5.9143672341151188E-01 a         7     0     1     1     7
 -5.4191522599249853E-01 a         8     0     1     1     8
  6.2314124014471106E-01 a         9     0     1     1     9
 -2.9049124768161205E-01 a        10     0     1     1    10
  3.9948662114336014E-01 a        11     0     1     1    11
  7.9960025424394461E-03 a        12     0     1     1    12
 -1.1917209759924989E-01 a        13     0     1     1    13
 -3.6431925299358714E-01 a        14     0     1     1    14
  3.6473557346779822E-01 a        15     0     1     1    15
 -2.6939565828781353E-01 a        16     0     2     1     1
  2.9355314232279794E-01 a        17     0     2     1     2
  8.7882749018380557E-01 a        18     0     2     1     3
 -4.3103031988678719E-01 a        19     0     2     1     4
  1.1700738687766541E+00 a        20     0     2     1     5
 -1.7770509643323795E-01 a        21     0     2     1     6
 -6.8803882256801963E-01 a        22     0     2     1     7
 -3.4298039881048259E-01 a        23     0     2     1     8
 -1.2789534696434550E+00 a        24     0     2     1     9
  6.8571031121273707E-01 a        25     0     2     1    10
  2.0909964391823527E-01 a        26     0     2     1    11
 -3.2203229355314200E-01 a        27     0     2     1    12
  5.1280010559139844E-01 a        28     0     2     1    13
  8.3082940357664159E-01 a        29     0     2     1    14
  2.0934400540549028E-01 a        30     0     2     1    15
 -5.7730790224044781E-01 a        31     0     3     1     1
  3.2953092924054905E-01 a        32     0     3     1     2
  2.9295119451199680E-01 a        33     0     3     1     3
  4.9369207289139121E-02 a        34     0     3     1     4
  7.0040311888936491E-01 a        35     0     3     1     5
  3.4744992702443162E-01 a        36     0     3     1     6
 -3.7784543274515509E-01 a        37     0     3     1     7
  1.0366961133096320E+00 a        38     0     3     1     8
 -8.1157390368358251E-01 a        39     0     3     1     9
 -5.2141597842544885E-01 a        40     0     3     1    10
 -9.9450140994231651E-01 a        41     0     3     1    11
 -6.1280954602368612E-02 a        42     0     3     1    12
  1.3974457090372960E-01 a        43     0     3     1    13
  7.4883608479617481E-01 a        44     0     3     1    14
 -1.2986321096861078E+00 a        45     0     3     1    15
  8.5387796615769518E-01 a        46     0     4     1     1
  9.5941386635796833E-01 a        47     0     4     1     2
 -1.8865950069917776E+00 a        48     0     4     1     3
  9.9365218575565228E-01 a        49     0     4     1     4
 -4.9433555510685101E-01 a        50     0     4     1     5
  3.0363390388969158E-01 a        51     0     4     1     6
 -1.0802078061567377E-01 a        52     0     4     1     7
  3.9660479958208006E-01 a        53     0     4     1     8
  8.4434335175300923E-01 a        54     0     4     1     9
 -2.3509237195448032E-01 a        55     0     4     1    10
 -4.3653605190217215E-01 a        56     0     4     1    11
  3.2858014589763074E-01 a        57     0     4     1    12
 -1.0699794538360616E+00 a        58     0     4     1    13
 -1.6964157988797235E+00 a        59     0     4     1    14
  1.5320080271276262E-01 a        60     0     4     1    15
  2.8575503172558425E-01 a        61     0     5     1     1
 -9.1428803701145367E-01 a        62     0     5     1     2
 -2.8800651169236069E-01 a        63     0     5     1     3
  2.2316001675110034E-01 a        64     0     5     1     4
 -1.0055417304527809E+00 a        65     0     5     1     5
 -3.9676941363365764E-01 a        66     0     5     1     6
 -3.3882274663495904E-01 a        67     0     5     1     7
 -5.8806764416728485E-01 a        68     0     5     1     8
  5.4407143149588078E-01 a        69     0     5     1     9
  9.6749446204124134E-01 a        70     0     5     1    10
  1.4287095578105278E+00 a        71     0     5     1    11
  4.0954902103517815E-01 a        72     0     5     1    12
  5.3714118425873836E-01 a        73     0     5     1    13
 -1.0395448770468858E+00 a        74     0     5     1    14
  1.5455893640714971E+00 a        75     0     5     1    15
 -1.9493019888646999E+00 a        76     0     6     1     1
 -2.6692792386732389E+00 a        77     0     6     1     2
  2.8115672953854527E+00 a        78     0     6     1     3
 -1.3606330915505638E+00 a        79     0     6     1     4
 -6.5999929433223958E-01 a        80     0     6     1     5
 -6.0230963368886603E-01 a        81     0     6     1     6
  2.0465836157665258E+00 a        82     0     6     1     7
  4.1040260551379576E-01 a        83     0     6     1     8
  2.5528983399434901E+00 a        84     0     6     1     9
  1.9459022681425736E-01 a        85     0     6     1    10
  2.0856132542716177E-01 a        86     0     6     1    11
  2.0948598650474934E-01 a        87     0     6     1    12
  6.5715685550264391E-01 a        88     0     6     1    13
  1.8055446264495756E+00 a        89     0     6     1    14
 -2.2273334590241298E-01 a        90     0     6     1    15
  6.0671700296402442E-01 a        91     0     7     1     1
  1.7448422224207369E+00 a        92     0     7     1     2
 -2.9961017575550380E-01 a        93     0     7     1     3
 -3.3806524944724015E-01 a        94     0     7     1     4
  9.1389137205327864E-01 a        95     0     7     1     5
  8.9268332408750595E-01 a        96     0     7     1     6
  7.8804651161462203E-01 a        97     0     7     1     7
 -3.6513514778223882E-01 a        98     0     7     1     8
 -1.0899461562462121E+00 a        99     0     7     1     9
 -2.5600906306113873E+00 a       100     0     7     1    10
 -1.1817950696918949E+00 a       101     0     7     1    11
 -2.2389995600608445E-01 a       102     0     7     1    12
 -4.2959958580687641E-01 a       103     0     7     1    13
  1.4272936558485996E+00 a       104     0     7     1    14
 -1.2859478502624828E+00 a       105     0     7     1    15
  2.6330488353041117E+00 a       106     0     8     1     1
  3.2370602377171851E+00 a       107     0     8     1     2
 -2.7375525690505156E+00 a       108     0     8     1     3
  7.4046580197571388E-01 a       109     0     8     1     4
  1.2203791884045421E+00 a       110     0     8     1     5
  4.7937598802925468E-01 a       111     0     8     1     6
 -2.4678191069766959E+00 a       112     0     8     1     7
