################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.7844499728201786E+00 a       117     0     8     1    12
 -2.5266703392910650E-01 a       118     0     8     1    13
 -2.3992706594866866E+00 a       119     0     8     1    14
 -1.5177837596920549E-01 a       120     0     8     1    15
 -1.4295041737228362E+00 a       121     0     9     1     1
  1.9344722516742383E+00 a       122     0     9     1     2
  2.4927925547825311E+00 a       123     0     9     1     3
 -1.0073172953930107E+00 a       124     0     9     1     4
 -3.7624316419503623E-01 a       125     0     9     1     5
 -4.4267395846671526E-01 a       126     0     9     1     6
 -3.5784146461569211E-01 a       127     0     9     1     7
 -1.9353260569902309E+00 a       128     0     9     1     8
 -5.3647525325306793E+00 a       129     0     9     1     9
 -1.5754908298171835E+00 a       130     0     9     1    10
 -2.1050773122856628E-01 a       131     0     9     1    11
 -7.4383890124044852E-02 a       132     0     9     1    12
 -3.9454497633395241E-01 a       133     0     9     1    13
 -1.4869768670098660E+00 a       134     0     9     1    14
 -3.4010695387980364E-02 a       135     0     9     1    15
  1.2448694718066913E+00 a       136     0    10     1     1
  8.8664836556374205E-01 a       137     0    10     1     2
 -1.4122252758848015E+00 a       138     0    10     1     3
  4.6154524192307428E-01 a       139     0    10     1     4
  6.9394595130347547E-01 a       140     0    10     1     5
  1.2892584434613132E+00 a       141     0    10     1     6
  1.1504467900109470E-01 a       142     0    10     1     7
  2.0396781549686347E+00 a       143     0    10     1     8
  1.3688306031920150E-01 a       144     0    10     1     9
  9.4885175450170300E-01 a       145     0    10     1    10
  8.4716609030317880E-01 a       146     0    10     1    11
 -2.2463049919346840E+00 a       147     0    10     1    12
 -9.6063843655878375E-02 a       148     0    10     1    13
  2.9916151429333282E-01 a       149     0    10     1    14
  5.7006953606188004E-01 a       150     0    10     1    15
 -3.5861631265913096E-01 a       151     0    11     1     1
 -6.3205359620751334E-01 a       152     0    11     1     2
  1.1185738214579832E+00 a       153     0    11     1     3
  1.1336521548238734E+00 a       154     0    11     1     4
 -9.1883910406821631E-02 a       155     0    11     1     5
  2.2132833972360741E-01 a       156     0    11     1     6
 -1.6193037101002929E+00 a       157     0    11     1     7
  4.3481850375351278E-01 a       158     0    11     1     8
 -8.1261560987207460E-01 a       159     0    11     1     9
 -5.7387162462724761E-01 a       160     0    11     1    10
 -3.3587631455626848E-01 a       161     0    11     1    11
 -8.6113523799925207E-01 a       162     0    11     1    12
 -4.4320645824321175E-01 a       163     0    11     1    13
  1.2255029329720263E-01 a       164     0    11     1    14
 -1.2306597210058157E+00 a       165     0    11     1    15
  6.0964191337786811E-01 a       166     0    12     1     1
  3.9060531904872692E-01 a       167     0    12     1     2
 -9.5905337586211858E-01 a       168     0    12     1     3
 -2.0705982582235671E-01 a       169     0    12     1     4
 -1.0725058460564675E-01 a       170     0    12     1     5
  2.7492045427694176E+00 a       171     0    12     1     6
  2.2066128245497265E+00 a       172     0    12     1     7
  5.2871703889721144E-01 a       173     0    12     1     8
  3.4730874452315947E+00 a       174     0    12     1     9
 -2.1646902818697641E-01 a       175     0    12     1    10
 -6.4910029594426610E-01 a       176     0    12     1    11
 -2.4163863012381714E-01 a       177     0    12     1    12
 -6.3928034486155949E-01 a       178     0    12     1    13
  3.0467879681913146E-01 a       179     0    12     1    14
  2.6901419557837619E-01 a       180     0    12     1    15
 -4.0250757482322314E-01 a       181     0    13     1     1
 -7.7552477504553163E-01 a       182     0    13     1     2
 -1.1771421687545154E+00 a       183     0    13     1     3
  2.9150212286815136E-01 a       184     0    13     1     4
  2.6315839213825465E-01 a       185     0    13     1     5
  1.1294066996687138E+00 a       186     0    13     1     6
  1.4687526013345125E+00 a       187     0    13     1     7
  6.1095416727322949E-01 a       188     0    13     1     8
  2.5412617404071449E+00 a       189     0    13     1     9
  8.6509883657914932E-01 a       190     0    13     1    10
 -1.8989145517335217E+00 a       191     0    13     1    11
  2.5078396081569954E-01 a       192     0    13     1    12
 -1.2020810832179043E+00 a       193     0    13     1    13
  1.5010122033011268E+00 a       194     0    13     1    14
  3.2142886598993636E-01 a       195     0    13     1    15
  1.9142968180004252E+00 a       196     0    14     1     1
 -4.3249163530366169E-01 a       197     0    14     1     2
 -2.1199753359224007E+00 a       198     0    14     1     3
  1.4378221963810820E+00 a       199     0    14     1     4
  1.3007879848255486E+00 a       200     0    14     1     5
 -1.3105572085736346E+00 a       201     0    14     1     6
  5.0175841104614283E-01 a       202     0    14     1     7
 -2.3916935340811687E+00 a       203     0    14     1     8
 -8.8004417416639968E-01 a       204     0    14     1     9
  5.1070827938288887E-01 a       205     0    14     1    10
  1.2963446938689900E+00 a       206     0    14     1    11
 -1.7226980927479356E+00 a       207     0    14     1    12
 -6.7404565459609944E-01 a       208     0    14     1    13
  9.9899338800045046E-01 a       209     0    14     1    14
 -8.9237336709305271E-01 a       210     0    14     1    15
  5.6139374476276949E-01 a       211     0    15     1     1
  1.1985670168890223E+00 a       212     0    15     1     2
 -9.7814511028906592E-01 a       213     0    15     1     3
 -4.1994183869205265E-01 a       214     0    15     1     4
 -3.9261614449105242E-01 a       215     0    15     1     5
 -1.3721202367661698E+00 a       216     0    15     1     6
  3.6014335522451285E-01 a       217     0    15     1     7
 -6.5922646605811708E-01 a       218     0    15     1     8
  1.6133188255447153E+00 a       219     0    15     1     9
  1.3279298129437465E+00 a       220     0    15     1    10
 -1.1093225657628945E+00 a       221     0    15     1    11
 -4.3259406472700923E-01 a       222     0    15     1    12
 -2.6348271103815207E-01 a       223     0    15     1    13
  4.7022522251652088E-01 a       224     0    15     1    14
  8.1757188080774423E-01 a       225     0    15     1    15
  6.1140326024394831E-01 a       226     0    16     1     1
 -1.6293577814710605E+00 a       227     0    16     1     2
  3.2188325826933267E-01 a       228     0    16     1     3
  7.5331309574739480E-01 a       229     0    16     1     4
 -1.3132649158933007E-01 a       230     0    16     1     5
 -1.6302778679021426E-01 a       231     0    16     1     6
 -3.8380686134396558E+00 a       232     0    16     1     7
  2.4398033527827184E-01 a       233     0    16     1     8
  3.7627776840439203E-01 a       234     0    16     1     9
  1.1770897479186861E+00 a       235     0    16     1    10
 -1.1061594665392855E+00 a       236     0    16     1    11
  1.4652430503559171E+00 a       237     0    16     1    12
  2.1397975673372771E-01 a       238     0    16     1    13
  9.7877182846290012E-01 a       239     0    16     1    14
  1.1276808221574081E-01 a       240     0    16     1    15
 -2.8971209739384818E-01 a       241     0    17     1     1
 -1.1236847199918281E+00 a       242     0    17     1     2
  2.5507978034459605E-01 a       243     0    17     1     3
  9.5115747680668083E-01 a       244     0    17     1     4
 -7.4580418442662177E-01 a       245     0    17     1     5
  4.5698341168979295E-01 a       246     0    17     1     6
 -1.0043825890765490E-01 a       247     0    17     1     7
  1.8389541481462095E+00 a       248     0    17     1     8
  1.3877895329727041E+00 a       249     0    17     1     9
 -6.7265480226913033E-01 a       250     0    17     1    10
 -1.3219889044360777E+00 a       251     0    17     1    11
  2.7089613603453899E-01 a       252     0    17     1    12
 -2.5874165750774397E-01 a       253     0    17     1    13
  9.6510934858491859E-01 a       254     0    17     1    14
  5.8771867486204532E-01 a       255     0    17     1    15
 -1.3469770321700436E+00 a       256     0    18     1     1
  4.0904313830474553E-01 a       257     0    18     1     2
 -5.0086220181854679E-01 a       258     0    18     1     3
 -1.4173430360923273E-01 a       259     0    18     1     4
 -2.0123099253455043E-01 a       260     0    18     1     5
  6.1696080476195414E-01 a       261     0    18     1     6
 -6.6176137424063974E-01 a       262     0    18     1     7
  2.4956354066943823E-01 a       263     0    18     1     8
  5.7795545432154605E-01 a       264     0    18     1     9
 -2.8476879055013560E-01 a       265     0    18     1    10
 -1.4809065127690196E-01 a       266     0    18     1    11
  5.0343709143400017E-01 a       267     0    18     1    12
  1.0689098667338428E+00 a       268     0    18     1    13
 -4.5969022314926805E-01 a       269     0    18     1    14
  1.0256222761309597E+00 a       270     0    18     1    15
  1.5977729906152022E-01 a       271     0    19     1     1
  6.7780030650461920E-01 a       272     0    19     1     2
  4.7166906118863755E-01 a       273     0    19     1     3
 -3.6995968925571537E-01 a       274     0    19     1     4
  2.9127141738348039E-01 a       275     0    19     1     5
  9.9055014561302479E-01 a       276     0    19     1     6
  8.8738967691977089E-01 a       277     0    19     1     7
 -3.6353148697548909E+00 a       278     0    19     1     8
  4.4397928458362390E-01 a       279     0    19     1     9
 -2.0160194185451627E-01 a       280     0    19     1    10
  7.7980192486930766E-01 a       281     0    19     1    11
  4.6348809611250186E-01 a       282     0    19     1    12
 -1.6912480418742459E-01 a       283     0    19     1    13
 -9.9374295862828377E-01 a       284     0    19     1    14
 -9.3469912386251519E-01 a       285     0    19     1    15
  1.3298071326553171E+00 a       286     0    20     1     1
  2.9086013669046973E-01 a       287     0    20     1     2
  1.5991004392237451E+00 a       288     0    20     1     3
 -5.6256592713488840E-01 a       289     0    20     1     4
  2.1183481817928018E+00 a       290     0    20     1     5
 -1.2924138802726637E+00 a       291     0    20     1     6
  1.3013169134285847E+00 a       292     0    20     1     7
  9.2149646764654669E-01 a       293     0    20     1     8
 -8.3440400561940420E-01 a       294     0    20     1     9
  4.1251509883547938E-01 a       295     0    20     1    10
  1.9331767530551827E-01 a       296     0    20     1    11
 -1.1325275729139970E+00 a       297     0    20     1    12
 -7.6546342210978036E-01 a       298     0    20     1    13
  1.4904128715990077E+00 a       299     0    20     1    14
  1.3644867312111089E+00 a       300     0    20     1    15
  1.5196080651453081E-01 a       301     0    21     1     1
  1.6880828335640363E+00 a       302     0    21     1     2
  4.5883443783266920E+00 a       303     0    21     1     3
 -2.7635614390429315E+00 a       304     0    21     1     4
  1.9209132432361764E-01 a       305     0    21     1     5
 -8.2077639807340963E-01 a       306     0    21     1     6
 -4.4109690717849309E-01 a       307     0    21     1     7
 -1.7665397554400597E+00 a       308     0    21     1     8
  1.3378704476795933E+00 a       309     0    21     1     9
 -3.3904305653958584E+00 a       310     0    21     1    10
  2.0978132365214055E+00 a       311     0    21     1    11
  3.5126090817551376E+00 a       312     0    21     1    12
  1.1376191849595449E+00 a       313     0    21     1    13
 -4.7131162449692859E-01 a       314     0    21     1    14
  9.8197817641113749E-01 a       315     0    21     1    15
  1.8522908890033007E+00 a       316     0    22     1     1
  8.3564975436516076E-01 a       317     0    22     1     2
 -7.2156223690229231E+00 a       318     0    22     1     3
  2.0961579434973632E+00 a       319     0    22     1     4
 -1.1605654744396821E+00 a       320     0    22     1     5
 -5.3592171879678530E-01 a       321     0    22     1     6
  2.7132898602575524E+00 a       322     0    22     1     7
  3.5772889829971732E+00 a       323     0    22     1     8
  1.5501657405477438E+00 a       324     0    22     1     9
  5.9349969230242525E+00 a       325     0    22     1    10
 -4.1430009797128813E+00 a       326     0    22     1    11
 -1.6057805059518329E+00 a       327     0    22     1    12
 -8.5222524841925573E-01 a       328     0    22     1    13
  3.3509561874867981E+00 a       329     0    22     1    14
  8.0338464095829787E-01 a       330     0    22     1    15
 -1.7510480432507078E+00 a       331     0    23     1     1
 -1.1546018587840341E+00 a       332     0    23     1     2
 -3.5971324955511204E+00 a       333     0    23     1     3
  7.6288338398991051E-01 a       334     0    23     1     4
 -7.7629557736490107E-01 a       335     0    23     1     5
 -1.1975264420519290E-01 a       336     0    23     1     6
 -5.7031207392839944E-01 a       337     0    23     1     7
 -1.3703330923023480E+00 a       338     0    23     1     8
 -1.3956586459114304E+00 a       339     0    23     1     9
  2.5421148311697768E+00 a       340     0    23     1    10
 -1.7811900538833085E+00 a       341     0    23     1    11
 -9.9303420993739400E-01 a       342     0    23     1    12
 -1.7446735343073716E-01 a       343     0    23     1    13
  8.1513893708608398E-01 a       344     0    23     1    14
  1.4808190364837853E-01 a       345     0    23     1    15
 -3.6657442838815746E-01 a       346     0    24     1     1
  5.6631329612865378E-01 a       347     0    24     1     2
  1.2599539399567425E+00 a       348     0    24     1     3
  8.8545802415752894E-01 a       349     0    24     1     4
  1.6491807914798687E-01 a       350     0    24     1     5
  1.1540322639323575E+00 a       351     0    24     1     6
  3.3621765965742212E-01 a       352     0    24     1     7
 -1.4146228494085061E-01 a       353     0    24     1     8
  1.0697351259484442E+00 a       354     0    24     1     9
 -1.7220174211513726E+00 a       355     0    24     1    10
  1.1974079249516343E+00 a       356     0    24     1    11
 -1.7711641375957883E+00 a       357     0    24     1    12
  2.6150238341628607E-01 a       358     0    24     1    13
 -1.3846053144245354E-01 a       359     0    24     1    14
 -7.5319272156206396E-01 a       360     0    24     1    15
 -9.9276879010937868E-01 a       361     0    25     1     1
  1.1279515684733883E+00 a       362     0    25     1     2
 -3.2248630783460996E-01 a       363     0    25     1     3
 -3.4051404712532785E-01 a       364     0    25     1     4
  4.2499536640692781E-01 a       365     0    25     1     5
 -1.6642974170771574E+00 a       366     0    25     1     6
 -2.3641592566519258E+00 a       367     0    25     1     7
 -6.3109056521826701E-01 a       368     0    25     1     8
 -1.9500366394470501E+00 a       369     0    25     1     9
 -6.5984872111791093E-01 a       370     0    25     1    10
 -3.4091991435976347E-02 a       371     0    25     1    11
 -9.6928692273884376E-01 a       372     0    25     1    12
  3.5215485231582005E-01 a       373     0    25     1    13
 -1.4403516580338003E+00 a       374     0    25     1    14
 -9.4759797119639244E-01 a       375     0    25     1    15
 -9.4547864594014852E-01 a       376     0    26     1     1
 -5.0894577384146689E-01 a       377     0    26     1     2
  3.1365599439531602E+00 a       378     0    26     1     3
 -2.4974865093881549E-01 a       379     0    26     1     4
 -2.8061012502177990E-01 a       380     0    26     1     5
 -1.4726916786698026E+00 a       381     0    26     1     6
 -1.2161932893720424E+00 a       382     0    26     1     7
  1.1426543876514548E+00 a       383     0    26     1     8
 -9.0477462102112916E-01 a       384     0    26     1     9
 -4.2064450773418477E-01 a       385     0    26     1    10
 -5.7739396923781626E-02 a       386     0    26     1    11
  1.1486032889217470E+00 a       387     0    26     1    12
  5.6782709332205794E-01 a       388     0    26     1    13
 -1.5497194399785552E+00 a       389     0    26     1    14
  7.7015542727863562E-01 a       390     0    26     1    15
 -2.7115896056556155E-01 a       391     0    27     1     1
  7.8496761963109418E-01 a       392     0    27     1     2
 -7.8514385401341458E-01 a       393     0    27     1     3
  9.2767413629689127E-02 a       394     0    27     1     4
  3.8772344012921406E-01 a       395     0    27     1     5
 -3.9055016277552500E-02 a       396     0    27     1     6
  5.1195046112769360E-01 a       397     0    27     1     7
  2.0800583572845047E-02 a       398     0    27     1     8
  2.3624765429532701E-01 a       399     0    27     1     9
 -1.2424857416027770E+00 a       400     0    27     1    10
  1.2097548708758663E+00 a       401     0    27     1    11
 -1.6235771643558772E+00 a       402     0    27     1    12
 -1.6786982863908204E-01 a       403     0    27     1    13
 -4.2293801514706325E-01 a       404     0    27     1    14
 -2.6263708200683000E-01 a       405     0    27     1    15
  1.7389785245691727E-01 b       406     1     1
  2.5464045832485932E-01 b       407     1     2
 -4.0719523496319722E-02 b       408     1     3
  1.5512327375680796E-01 b       409     1     4
  1.9991976941182693E-01 b       410     1     5
  4.8418406369169037E-01 b       411     1     6
 -9.1909424741507695E-01 b       412     1     7
 -9.2348208321550762E-01 b       413     1     8
 -1.0838159644255196E+00 b       414     1     9
  3.2981014086215572E-02 b       415     1    10
 -1.7477525884663838E+00 b       416     1    11
  5.4964772788555272E-01 b       417     1    12
 -1.4497453891727918E+00 b       418     1    13
  1.2930697676613283E+00 b       419     1    14
 -1.2580605917187979E+00 b       420     1    15
  6.2245847311482350E-01 a       421     1     1     2     1
