################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.2022368197033199E-02 a         1     0     1     1     1
 -1.5519564101605940E-01 a         2     0     1     1     2
  3.2609880908085481E-01 a         3     0     1     1     3
  2.9763829694186927E-01 a         4     0     1     1     4
 -1.2003885014183420E+00 a         5     0     1     1     5
  4.6522899714108068E-01 a         6     0     1     1     6
  7.3243538464252356E-02 a         7     0     1     1     7
  1.7450665160690554E-01 a         8     0     1     1     8
  5.8548304995418388E-01 a         9     0     1     1     9
 -5.1883701874107446E-01 a        10     0     1     1    10
  4.8813272143164432E-01 a        11     0     1     1    11
 -7.7028114930353886E-01 a        12     0     1     1    12
  3.9799885716936645E-01 a        13     0     1     1    13
  1.5313054290478902E+00 a        14     0     1     1    14
 -3.9718355263017613E-01 a        15     0     1     1    15
 -1.2828469859136904E+00 a        16     0     2     1     1
 -7.6553903542176571E-01 a        17     0     2     1     2
 -3.1819733890707425E-01 a        18     0     2     1     3
 -6.7777252231516136E-02 a        19     0     2     1     4
  5.2259443207584866E-01 a        20     0     2     1     5
 -2.0557366614758457E+00 a        21     0     2     1     6
  1.9217958665880491E-01 a        22     0     2     1     7
 -1.0457998059317582E-01 a        23     0     2     1     8
  6.3159818713565763E-01 a        24     0     2     1     9
 -8.6460413892961485E-01 a        25     0     2     1    10
  2.8000957429734209E-03 a        26     0     2     1    11
 -5.2164294448107740E-01 a        27     0     2     1    12
 -2.6008390717923591E-01 a        28     0     2     1    13
  1.0876512433403700E+00 a        29     0     2     1    14
  2.1503489780641130E+00 a        30     0     2     1    15
  8.3382149534971595E-01 a        31     0     3     1     1
  1.0263555511006934E+00 a        32     0     3     1     2
  6.8109547433793091E-02 a        33     0     3     1     3
  3.3897590848331555E-01 a        34     0     3     1     4
 -4.2958281244279861E-01 a        35     0     3     1     5
  1.1846468852722858E+00 a        36     0     3     1     6
 -2.5463944377832576E-01 a        37     0     3     1     7
  6.5265374017315714E-01 a        38     0     3     1     8
 -4.4182076880254759E-02 a        39     0     3     1     9
  5.4400313963345737E-01 a        40     0     3     1    10
 -6.7149024435706550E-01 a        41     0     3     1    11
  2.0430264689888319E-01 a        42     0     3     1    12
 -7.0074439285003232E-02 a        43     0     3     1    13
 -1.5419121320383089E-01 a        44     0     3     1    14
 -4.8441051705371840E-01 a        45     0     3     1    15
  1.1892772533326479E+00 a        46     0     4     1     1
 -5.0413784423620489E-01 a        47     0     4     1     2
 -1.9363901340067274E-01 a        48     0     4     1     3
  2.2722935440589065E-01 a        49     0     4     1     4
 -4.2121199880560145E-01 a        50     0     4     1     5
  8.6111299678648301E-01 a        51     0     4     1     6
 -4.8135700459407627E-01 a        52     0     4     1     7
 -1.1297517677178583E+00 a        53     0     4     1     8
 -1.7057695236088861E+00 a        54     0     4     1     9
  1.2379242450241930E+00 a        55     0     4     1    10
  5.1971561242298225E-01 a        56     0     4     1    11
  8.7629388839990463E-01 a        57     0     4     1    12
 -6.3383045764000245E-01 a        58     0     4     1    13
  1.6855269247089102E-01 a        59     0     4     1    14
 -1.2613858374169178E+00 a        60     0     4     1    15
 -9.6465270408376036E-01 a        61     0     5     1     1
  2.0743616817211263E+00 a        62     0     5     1     2
  1.3641763535430987E-02 a        63     0     5     1     3
