################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.4689469140046377E-01 a         1     0     1     1     1
  1.3250023464984784E-01 a         2     0     1     1     2
  3.5631047660489690E-01 a         3     0     1     1     3
 -3.3097566975403381E-01 a         4     0     1     1     4
  2.9563037247202101E-01 a         5     0     1     1     5
  1.5276700249765835E-02 a         6     0     1     1     6
  1.9578260150651999E-01 a         7     0     1     1     7
 -2.4439870027459679E-02 a         8     0     1     1     8
  1.3084768731933744E-01 a         9     0     1     1     9
 -1.7041409750327077E-01 a        10     0     1     1    10
 -1.6189907772052900E-01 a        11     0     1     1    11
 -1.9135542087493684E-01 a        12     0     1     1    12
  4.4383370056317012E-01 a        13     0     1     1    13
  5.0741592267370006E-01 a        14     0     1     1    14
 -5.0810601577004888E-01 a        15     0     1     1    15
  8.3416076532859462E-01 a        16     0     2     1     1
 -7.3524564254206906E-02 a        17     0     2     1     2
 -2.7381510187914682E-02 a        18     0     2     1     3
  4.0092005960335270E-01 a        19     0     2     1     4
  8.1065675059872111E-01 a        20     0     2     1     5
 -4.9035757717496659E-01 a        21     0     2     1     6
 -4.2307677433392749E-01 a        22     0     2     1     7
  2.0626550168102778E-01 a        23     0     2     1     8
  3.5541519927992349E-01 a        24     0     2     1     9
 -4.2488844674287130E-01 a        25     0     2     1    10
  2.7418720543747782E-01 a        26     0     2     1    11
 -5.0395374066028742E-01 a        27     0     2     1    12
 -7.8755874112505686E-01 a        28     0     2     1    13
 -8.8100899581588676E-01 a        29     0     2     1    14
  4.4464166933619920E-01 a        30     0     2     1    15
 -7.1900353835546582E-01 a        31     0     3     1     1
 -5.5868712571032841E-01 a        32     0     3     1     2
  2.2216164985151759E-02 a        33     0     3     1     3
  4.3087328584543012E-02 a        34     0     3     1     4
 -6.4495979031548745E-01 a        35     0     3     1     5
  2.3799997835459563E-01 a        36     0     3     1     6
  3.8173404028073316E-01 a        37     0     3     1     7
  1.5864284208987972E-02 a        38     0     3     1     8
 -5.9024504495961549E-01 a        39     0     3     1     9
  7.9000394999336532E-01 a        40     0     3     1    10
  1.5003731977850418E-01 a        41     0     3     1    11
  7.9181136277266106E-01 a        42     0     3     1    12
  3.3487041175005944E-01 a        43     0     3     1    13
 -2.2818417972325422E-02 a        44     0     3     1    14
  3.9572303618810584E-01 a        45     0     3     1    15
 -1.3784551426493663E-01 a        46     0     4     1     1
 -4.2010551553410724E-01 a        47     0     4     1     2
 -4.0746892820700187E-01 a        48     0     4     1     3
 -2.5492908080315380E-01 a        49     0     4     1     4
 -7.8479776910353183E-01 a        50     0     4     1     5
  6.0652533181014190E-01 a        51     0     4     1     6
  1.7413903768691208E-01 a        52     0     4     1     7
 -1.1489781446615670E-01 a        53     0     4     1     8
 -3.4107092643041093E-01 a        54     0     4     1     9
 -2.7375968479118953E-02 a        55     0     4     1    10
 -5.8890756135925551E-02 a        56     0     4     1    11
  4.1088068690996243E-01 a        57     0     4     1    12
 -1.2445195594505241E-01 a        58     0     4     1    13
  6.1255349472993903E-01 a        59     0     4     1    14
 -5.9073162799612655E-01 a        60     0     4     1    15
  4.3842322313181709E-01 a        61     0     5     1     1
  1.5890108940737042E+00 a        62     0     5     1     2
 -2.9111888647175087E-02 a        63     0     5     1     3
 -2.9427561869164848E-01 a        64     0     5     1     4
  1.7333611463106097E-01 a        65     0     5     1     5
