################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -3.8542143781672406E-01 a         1     0     1     1     1
 -2.9921375714566334E-01 a         2     0     1     1     2
 -5.7827326098292352E-02 a         3     0     1     1     3
  6.1587031021179661E-01 a         4     0     1     1     4
  5.1970413533666993E-01 a         5     0     1     1     5
  2.2390791628819824E+00 a         6     0     1     1     6
 -1.7425584963726273E+00 a         7     0     1     1     7
  9.8876488373549887E-01 a         8     0     1     1     8
  3.6409307087668474E-01 a         9     0     1     1     9
  1.4884594734671514E-02 a        10     0     1     1    10
  1.0078803379050842E+00 a        11     0     1     1    11
  1.0766828051479735E-01 a        12     0     1     1    12
 -6.7071053081127499E-02 a        13     0     1     1    13
 -1.3951149415371641E-01 a        14     0     1     1    14
  4.5628968571413159E-01 a        15     0     1     1    15
 -3.6036423698441727E-01 a        16     0     2     1     1
 -5.1750319641754006E-01 a        17     0     2     1     2
 -8.3021240198736923E-01 a        18     0     2     1     3
 -6.9239433511829351E-01 a        19     0     2     1     4
  1.1516630258485747E+00 a        20     0     2     1     5
 -1.0456992817322224E+00 a        21     0     2     1     6
 -1.1840639348462565E+00 a        22     0     2     1     7
 -2.2766831939605409E-01 a        23     0     2     1     8
  8.0915999099086755E-02 a        24     0     2     1     9
 -1.3612354208884264E-01 a        25     0     2     1    10
 -3.6068489214888211E-01 a        26     0     2     1    11
  5.1492513832170195E-01 a        27     0     2     1    12
  1.6762540712271985E+00 a        28     0     2     1    13
  8.9894661764081962E-01 a        29     0     2     1    14
 -2.6199978912778482E-01 a        30     0     2     1    15
 -2.9675412363521486E-01 a        31     0     3     1     1
 -1.8674317059242371E-01 a        32     0     3     1     2
  1.0172138106023652E-01 a        33     0     3     1     3
 -6.3084395281660677E-01 a        34     0     3     1     4
 -2.4344473701274300E-01 a        35     0     3     1     5
 -3.4890954579479927E-01 a        36     0     3     1     6
  4.8622605773011296E-01 a        37     0     3     1     7
 -1.1199810228213276E+00 a        38     0     3     1     8
  2.3574785083240693E-01 a        39     0     3     1     9
 -9.0217011117086232E-01 a        40     0     3     1    10
 -4.8157418327701962E-01 a        41     0     3     1    11
  4.6020118417979711E-01 a        42     0     3     1    12
  6.3810484994142436E-01 a        43     0     3     1    13
  1.1973847403424401E-02 a        44     0     3     1    14
  2.7959607041684065E-01 a        45     0     3     1    15
 -2.3276132710399702E-01 a        46     0     4     1     1
  5.4870651685497995E-01 a        47     0     4     1     2
  1.7662242590890631E-01 a        48     0     4     1     3
  2.1151004533501281E+00 a        49     0     4     1     4
 -1.4343878329407300E-01 a        50     0     4     1     5
