################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  4.0063282340589518E-01 a         1     0     1     1     1
  3.1360088088967231E-01 a         2     0     1     1     2
 -1.5784501495433453E-01 a         3     0     1     1     3
  2.0269677095610636E-01 a         4     0     1     1     4
  3.7681335867059529E-01 a         5     0     1     1     5
 -1.2386208481500510E-01 a         6     0     1     1     6
 -5.3457279163630293E-02 a         7     0     1     1     7
  3.7292538680678555E-01 a         8     0     1     1     8
  3.0255633061326237E-01 a         9     0     1     1     9
  6.2159652297333801E-01 a        10     0     1     1    10
  4.6628333478568845E-01 a        11     0     1     1    11
 -2.4996458663973195E-01 a        12     0     1     1    12
  2.1829881358067399E-01 a        13     0     1     1    13
 -7.2330469762498323E-02 a        14     0     1     1    14
  1.0078572884369072E-02 a        15     0     1     1    15
 -2.5425339727412183E-01 a        16     0     2     1     1
 -4.5097751876425057E-01 a        17     0     2     1     2
  3.5287535755049976E-01 a        18     0     2     1     3
 -6.8151385926707009E-01 a        19     0     2     1     4
 -6.4946426212465180E-01 a        20     0     2     1     5
  6.9447462359603918E-01 a        21     0     2     1     6
  1.8235179743073962E-01 a        22     0     2     1     7
  1.1685875333325473E-01 a        23     0     2     1     8
 -8.4132419127912683E-01 a        24     0     2     1     9
 -8.3259582431815388E-02 a        25     0     2     1    10
  3.0604984992388469E-03 a        26     0     2     1    11
  3.7286463231833028E-01 a        27     0     2     1    12
  5.9503484904864223E-01 a        28     0     2     1    13
 -2.7637275696048580E-01 a        29     0     2     1    14
 -2.9712350516482200E-01 a        30     0     2     1    15
 -7.6824263347216004E-01 a        31     0     3     1     1
 -1.7030214654909803E-01 a        32     0     3     1     2
 -2.5492040615459810E-01 a        33     0     3     1     3
 -4.5681243764615331E-01 a        34     0     3     1     4
 -1.0776953608443005E+00 a        35     0     3     1     5
  6.0210992273892427E-01 a        36     0     3     1     6
  7.2113204570186951E-01 a        37     0     3     1     7
 -3.9920961434138785E-01 a        38     0     3     1     8
 -8.4609107095741487E-02 a        39     0     3     1     9
 -2.4697188048909394E-01 a        40     0     3     1    10
 -3.0641256049275678E-01 a        41     0     3     1    11
  4.5435122045880405E-01 a        42     0     3     1    12
 -5.1395404157961144E-01 a        43     0     3     1    13
 -8.6389666122249908E-02 a        44     0     3     1    14
 -3.2209387446639932E-03 a        45     0     3     1    15
  2.4154684988384562E-01 a        46     0     4     1     1
 -2.6015366984617305E-01 a        47     0     4     1     2
 -1.7500311469125826E-01 a        48     0     4     1     3
  1.6083344983661718E+00 a        49     0     4     1     4
  1.6861122779601772E+00 a        50     0     4     1     5
 -1.2277136194494116E+00 a        51     0     4     1     6
 -7.6550026266756310E-01 a        52     0     4     1     7
 -8.9740112873430589E-01 a        53     0     4     1     8
  1.4004910898858365E+00 a        54     0     4     1     9
 -1.0988579727376060E+00 a        55     0     4     1    10
  3.4712210603341231E-02 a        56     0     4     1    11
