################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -5.2471304569273514E-01 a         1     0     1     1     1
 -3.1123991744977547E-01 a         2     0     1     1     2
  3.1764821301875840E-01 a         3     0     1     1     3
  3.7827080336110147E-01 a         4     0     1     1     4
  4.4220779031021051E-01 a         5     0     1     1     5
 -1.2092122553741932E-01 a         6     0     1     1     6
 -3.4693940073638890E-01 a         7     0     1     1     7
 -7.4903405529523370E-01 a         8     0     1     1     8
 -5.6350174346244890E-02 a         9     0     1     1     9
 -6.8135522800178303E-02 a        10     0     1     1    10
  4.0836691963888588E-01 a        11     0     1     1    11
 -1.3370180180454361E-01 a        12     0     1     1    12
  2.0652334343489212E-01 a        13     0     1     1    13
 -9.4714133436007569E-02 a        14     0     1     1    14
 -2.0643708818266198E-02 a        15     0     1     1    15
  3.7506831156197828E-01 a        16     0     2     1     1
  7.3193199099302508E-01 a        17     0     2     1     2
 -6.6959278961258639E-01 a        18     0     2     1     3
 -1.5234751831055910E+00 a        19     0     2     1     4
 -4.7253429916817574E-01 a        20     0     2     1     5
 -7.5038315978131476E-01 a        21     0     2     1     6
  2.9138540133863033E-01 a        22     0     2     1     7
  1.1570462389020371E+00 a        23     0     2     1     8
  3.4346558907554436E-01 a        24     0     2     1     9
 -3.7052163765206209E-01 a        25     0     2     1    10
 -2.7355595252911458E-01 a        26     0     2     1    11
  6.7951110312953256E-01 a        27     0     2     1    12
  6.7461492528005362E-01 a        28     0     2     1    13
 -1.6614632890501671E-01 a        29     0     2     1    14
 -5.0921758589130073E-01 a        30     0     2     1    15
  6.2197722055265459E-01 a        31     0     3     1     1
 -1.1057579410306800E-01 a        32     0     3     1     2
 -7.2112210076754238E-02 a        33     0     3     1     3
  1.1848372177542039E+00 a        34     0     3     1     4
  1.7025479119486120E-01 a        35     0     3     1     5
  7.0519390958831563E-01 a        36     0     3     1     6
  1.2731388184308989E-01 a        37     0     3     1     7
 -1.2433693480635416E-01 a        38     0     3     1     8
 -4.7730476213606751E-02 a        39     0     3     1     9
  6.8318533186159058E-01 a        40     0     3     1    10
  3.7751303263331412E-02 a        41     0     3     1    11
  6.7072130169707381E-02 a        42     0     3     1    12
 -1.0430654121431615E+00 a        43     0     3     1    13
  3.7180738784963019E-01 a        44     0     3     1    14
  6.3325047989172156E-01 a        45     0     3     1    15
 -4.3095403875438870E-01 a        46     0     4     1     1
 -1.9257486145557337E-01 a        47     0     4     1     2
  8.9389861048738395E-01 a        48     0     4     1     3
  3.6735463793531564E-01 a        49     0     4     1     4
  1.2086101255194844E-01 a        50     0     4     1     5
  9.3255672529950362E-01 a        51     0     4     1     6
  3.5272385394417410E-01 a        52     0     4     1     7
 -6.4243414029669696E-02 a        53     0     4     1     8
 -9.6787935576588963E-02 a        54     0     4     1     9
  2.8052824575446378E-01 a        55     0     4     1    10
 -8.9038982164154259E-03 a        56     0     4     1    11
 -9.6212135116157216E-01 a        57     0     4     1    12
  4.2741302817552014E-02 a        58     0     4     1    13
  1.6952213096253102E-01 a        59     0     4     1    14
  5.3930029909305077E-01 a        60     0     4     1    15
  1.5290383638760616E-01 a        61     0     5     1     1
  6.8322370771193450E-02 a        62     0     5     1     2
