################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -6.7598270256420540E-02 a         1     0     1     1     1
  4.0407842843663816E-01 a         2     0     1     1     2
  7.7990952706010003E-02 a         3     0     1     1     3
 -1.2252969548482472E-01 a         4     0     1     1     4
  5.6007580084598318E-01 a         5     0     1     1     5
 -1.6544720139103022E-01 a         6     0     1     1     6
 -8.6930689450465226E-02 a         7     0     1     1     7
 -6.2336825873316548E-01 a         8     0     1     1     8
 -1.2228299986201660E-01 a         9     0     1     1     9
  4.5684168797461994E-01 a        10     0     1     1    10
 -1.9663874284328459E-01 a        11     0     1     1    11
 -1.0656656347611447E-01 a        12     0     1     1    12
  6.8247538772764760E-01 a        13     0     1     1    13
  2.9241667463643750E-01 a        14     0     1     1    14
 -8.6972861752982555E-01 a        15     0     1     1    15
 -4.5434171970654968E-01 a        16     0     2     1     1
 -4.7848574741122357E-01 a        17     0     2     1     2
 -9.6423296201223863E-01 a        18     0     2     1     3
  9.6286337337283068E-01 a        19     0     2     1     4
 -7.1602084943739108E-01 a        20     0     2     1     5
  9.9652145415047400E-01 a        21     0     2     1     6
 -3.3949058301198315E-01 a        22     0     2     1     7
  4.8250045213592441E-01 a        23     0     2     1     8
 -3.4865059977650575E-01 a        24     0     2     1     9
 -6.1043884479493227E-01 a        25     0     2     1    10
 -1.3707318766651852E-01 a        26     0     2     1    11
 -1.5654642473595828E-01 a        27     0     2     1    12
 -2.9031764939063714E-01 a        28     0     2     1    13
  2.4088198856096837E-01 a        29     0     2     1    14
  7.2505858477306073E-01 a        30     0     2     1    15
 -3.4482105986794909E-02 a        31     0     3     1     1
  5.6503719357904124E-02 a        32     0     3     1     2
  3.3636699933121961E-03 a        33     0     3     1     3
 -4.6361166346107496E-01 a        34     0     3     1     4
 -3.1864411706348816E-01 a        35     0     3     1     5
  1.8388160271829151E-01 a        36     0     3     1     6
  1.4145657691147573E+00 a        37     0     3     1     7
  1.3858967961602358E+00 a        38     0     3     1     8
  2.7805726244339173E-02 a        39     0     3     1     9
 -1.0111336351984694E-01 a        40     0     3     1    10
  7.6634718888365361E-01 a        41     0     3     1    11
 -1.8126756223741888E-01 a        42     0     3     1    12
 -5.6030046286674096E-01 a        43     0     3     1    13
 -2.3580050259254923E-01 a        44     0     3     1    14
  1.1534889661026007E+00 a        45     0     3     1    15
  1.1569025765078544E+00 a        46     0     4     1     1
 -4.0975560399210781E-01 a        47     0     4     1     2
  2.0582384428027369E+00 a        48     0     4     1     3
 -1.1433878664188988E+00 a        49     0     4     1     4
  1.5360369161776777E-01 a        50     0     4     1     5
 -1.8494081224215868E+00 a        51     0     4     1     6
 -6.7213251184964906E-01 a        52     0     4     1     7
 -1.1552884921114237E+00 a        53     0     4     1     8
  7.1563303659701039E-02 a        54     0     4     1     9
  8.9651545934672050E-01 a        55     0     4     1    10
 -2.8556169105998907E-02 a        56     0     4     1    11
  6.4468468159977743E-01 a        57     0     4     1    12
 -8.1873447180071646E-01 a        58     0     4     1    13
 -6.5368353836569271E-01 a        59     0     4     1    14
 -8.2185564271861189E-02 a        60     0     4     1    15
  3.6590571774916791E-01 a        61     0     5     1     1
  4.4324613646563343E-01 a        62     0     5     1     2
 -3.0794480643633143E-01 a        63     0     5     1     3
  7.0349277564992241E-01 a        64     0     5     1     4
  1.7242200669221791E-01 a        65     0     5     1     5
  3.7587870762911157E-01 a        66     0     5     1     6
 -1.0583594424321741E+00 a        67     0     5     1     7
 -1.9301335942798292E+00 a        68     0     5     1     8
  5.7222724879865960E-01 a        69     0     5     1     9
  2.3584884024170993E-01 a        70     0     5     1    10
 -1.4835048326134570E+00 a        71     0     5     1    11
  2.4164704953224794E-01 a        72     0     5     1    12
  3.7303502601404842E-01 a        73     0     5     1    13
  7.3030053837049802E-01 a        74     0     5     1    14
 -7.2081226240115692E-01 a        75     0     5     1    15
 -1.3899056824501232E+00 a        76     0     6     1     1
  8.4522816195383021E-01 a        77     0     6     1     2
 -2.2872452055200889E+00 a        78     0     6     1     3
  5.3159988356923593E-01 a        79     0     6     1     4
  6.2444278602766712E-01 a        80     0     6     1     5
  1.1349923310910044E+00 a        81     0     6     1     6
  5.8422393471830258E-01 a        82     0     6     1     7
  1.9035474974390594E+00 a        83     0     6     1     8
  1.4131313602679498E+00 a        84     0     6     1     9
 -1.8744635917896906E+00 a        85     0     6     1    10
  4.4419994206397090E-01 a        86     0     6     1    11
 -2.7630279272924790E-01 a        87     0     6     1    12
  2.0109816572147956E+00 a        88     0     6     1    13
 -4.1017713188354704E-01 a        89     0     6     1    14
 -1.7737375459083977E+00 a        90     0     6     1    15
 -5.7352669596778250E-01 a        91     0     7     1     1
 -5.7817523823681327E-01 a        92     0     7     1     2
  2.5751510997950544E-01 a        93     0     7     1     3
 -7.5887697983580563E-03 a        94     0     7     1     4
  5.1894342761454637E-01 a        95     0     7     1     5
 -4.2177166184634834E-01 a        96     0     7     1     6
  1.9552282459223200E-01 a        97     0     7     1     7
  1.7399577685141874E+00 a        98     0     7     1     8
 -1.1742176159271944E+00 a        99     0     7     1     9
  1.8902315997468506E-02 a       100     0     7     1    10
  2.1193949306146962E+00 a       101     0     7     1    11
 -2.8746318834174134E-01 a       102     0     7     1    12
 -4.7581205596831128E-01 a       103     0     7     1    13
 -8.0164238718868697E-01 a       104     0     7     1    14
  6.2537893302134129E-01 a       105     0     7     1    15
  1.0130489286469169E+00 a       106     0     8     1     1
 -7.1788913820213451E-01 a       107     0     8     1     2
  1.5692683328902857E+00 a       108     0     8     1     3
  2.0719651808216435E-01 a       109     0     8     1     4
 -2.2272752956094866E-01 a       110     0     8     1     5
 -1.0379072336183972E+00 a       111     0     8     1     6
 -1.6926009515632490E-01 a       112     0     8     1     7
 -1.9322212610945111E+00 a       113     0     8     1     8
 -2.2302261583907455E+00 a       114     0     8     1     9
  1.6069318283634872E+00 a       115     0     8     1    10
 -5.6719742351457669E-01 a       116     0     8     1    11
 -3.0273636727410591E-01 a       117     0     8     1    12
 -2.4157640780916538E+00 a       118     0     8     1    13
  8.6878419966231424E-01 a       119     0     8     1    14
  2.4468431636640040E+00 a       120     0     8     1    15
 -6.1386319559784286E-01 a       121     0     9     1     1
  7.4996279986891956E-02 a       122     0     9     1     2
 -9.5024484299340672E-01 a       123     0     9     1     3
 -9.2472447361129329E-01 a       124     0     9     1     4
  6.1170909948901087E-01 a       125     0     9     1     5
  3.3378055685593738E-01 a       126     0     9     1     6
  1.3842577863593583E-01 a       127     0     9     1     7
  9.3658480136881883E-01 a       128     0     9     1     8
  2.0454986473091563E+00 a       129     0     9     1     9
 -1.6044612567203669E+00 a       130     0     9     1    10
  4.1355194574878695E-01 a       131     0     9     1    11
 -2.7784265201126696E-01 a       132     0     9     1    12
  1.7557104568157837E+00 a       133     0     9     1    13
 -1.1584619021206188E+00 a       134     0     9     1    14
 -2.1424022881122906E+00 a       135     0     9     1    15
  2.9285484786506538E-01 a       136     0    10     1     1
  9.6767271437810332E-02 a       137     0    10     1     2
  4.3589800062534928E-01 a       138     0    10     1     3
 -3.5296731024632177E-01 a       139     0    10     1     4
 -6.9061427750314242E-01 a       140     0    10     1     5
  7.5596097151828667E-01 a       141     0    10     1     6
  3.3873331078231755E-01 a       142     0    10     1     7
 -5.9751848044687916E-01 a       143     0    10     1     8
  9.8384593016908206E-01 a       144     0    10     1     9
 -2.1577308266909781E-01 a       145     0    10     1    10
 -1.3138386648329425E+00 a       146     0    10     1    11
  2.5153042914442414E-01 a       147     0    10     1    12
  5.0718304277094983E-01 a       148     0    10     1    13
  3.2611748758690712E-01 a       149     0    10     1    14
 -5.4629303467227934E-02 a       150     0    10     1    15
  7.9968362373499002E-01 a       151     0    11     1     1
  1.3637879472228109E+00 a       152     0    11     1     2
 -1.4569234929947619E+00 a       153     0    11     1     3
  8.1976308021397648E-01 a       154     0    11     1     4
  7.2926052592189861E-01 a       155     0    11     1     5
 -4.4823480658309487E+00 a       156     0    11     1     6
  2.2841775016487886E-01 a       157     0    11     1     7
 -9.6075815023441558E-01 a       158     0    11     1     8
 -1.3971888505987065E+00 a       159     0    11     1     9
  1.0239848807043208E+00 a       160     0    11     1    10
 -3.7359343797349243E-01 a       161     0    11     1    11
  8.5323421953775103E-01 a       162     0    11     1    12
 -2.1571317044551370E+00 a       163     0    11     1    13
  6.2681858335504159E-01 a       164     0    11     1    14
  9.0545508321715651E-01 a       165     0    11     1    15
 -5.7137358111595260E-02 a       166     0    12     1     1
  3.8054087402185632E-01 a       167     0    12     1     2
 -6.6800644399880649E-01 a       168     0    12     1     3
  9.6412338175854664E-02 a       169     0    12     1     4
 -3.9784027809136160E-02 a       170     0    12     1     5
 -2.9198322050253489E-01 a       171     0    12     1     6
 -3.0944576456222095E-01 a       172     0    12     1     7
  1.6532928820707773E-01 a       173     0    12     1     8
 -3.9460927492363429E-01 a       174     0    12     1     9
  9.2847190209422659E-01 a       175     0    12     1    10
  4.1450890648914063E-01 a       176     0    12     1    11
  5.0739204662621190E-02 a       177     0    12     1    12
  5.9438625692217972E-02 a       178     0    12     1    13
  3.2150936988329648E-01 a       179     0    12     1    14
 -1.8667228628055085E-01 a       180     0    12     1    15
 -8.5038557466039921E-01 a       181     0    13     1     1
 -1.9551295482138500E+00 a       182     0    13     1     2
  1.4698238741399474E+00 a       183     0    13     1     3
 -1.7479504576580834E-01 a       184     0    13     1     4
 -1.1677512344153145E+00 a       185     0    13     1     5
  4.8428811657187900E+00 a       186     0    13     1     6
 -7.3595184161324056E-01 a       187     0    13     1     7
  4.9169874194776209E-01 a       188     0    13     1     8
  1.1745089344970363E+00 a       189     0    13     1     9
 -1.1584471408913064E+00 a       190     0    13     1    10
  1.1281913324921786E+00 a       191     0    13     1    11
  2.8616267825255892E-01 a       192     0    13     1    12
  1.4920808087885962E+00 a       193     0    13     1    13
 -2.7460229940832470E-01 a       194     0    13     1    14
 -5.3209699185043569E-01 a       195     0    13     1    15
  6.9015640892799629E-02 a       196     0    14     1     1
  5.3360115764866635E-02 a       197     0    14     1     2
  1.2321840856033361E-01 a       198     0    14     1     3
  3.3992438363574090E-01 a       199     0    14     1     4
  3.6086060135569997E-01 a       200     0    14     1     5
  5.4442581302727708E-02 a       201     0    14     1     6
  6.9357757184304425E-01 a       202     0    14     1     7
 -2.2818601653646930E-01 a       203     0    14     1     8
  2.9730005882187194E-01 a       204     0    14     1     9
 -3.3221364621752714E-01 a       205     0    14     1    10
 -4.1981007440532753E-01 a       206     0    14     1    11
  3.4649096380984362E-01 a       207     0    14     1    12
 -1.2455499244847996E-01 a       208     0    14     1    13
 -3.3606759483698800E-01 a       209     0    14     1    14
  1.1490497309972766E-01 a       210     0    14     1    15
  9.4281593452269752E-01 a       211     0    15     1     1
  5.6522835354553347E-01 a       212     0    15     1     2
 -5.3056051996485309E-01 a       213     0    15     1     3
  2.4035622939421269E-01 a       214     0    15     1     4
 -2.0732507565085556E-01 a       215     0    15     1     5
 -9.2850661330544926E-01 a       216     0    15     1     6
  1.1886449861774979E-01 a       217     0    15     1     7
 -1.1190504393013002E-01 a       218     0    15     1     8
 -4.0986320638583540E-01 a       219     0    15     1     9
  8.9757804888226572E-02 a       220     0    15     1    10
 -1.1996193307576185E-01 a       221     0    15     1    11
  2.5520052940144722E-01 a       222     0    15     1    12
  5.9450313406650163E-02 a       223     0    15     1    13
  1.4170024229477246E-01 a       224     0    15     1    14
  2.7320371319932324E-01 a       225     0    15     1    15
  6.2842901081800731E-03 a       226     0    16     1     1
 -3.1988945825642490E-02 a       227     0    16     1     2
 -1.3672093042942227E-01 a       228     0    16     1     3
  4.9670125444130755E-02 a       229     0    16     1     4
 -5.3425086754958773E-01 a       230     0    16     1     5
  1.3416577582892475E-01 a       231     0    16     1     6
 -1.6347715982515754E-01 a       232     0    16     1     7
  7.2770146459714094E-02 a       233     0    16     1     8
 -5.1409830352192397E-02 a       234     0    16     1     9
  5.4854424345957487E-01 a       235     0    16     1    10
 -1.9122708792153589E-01 a       236     0    16     1    11
 -5.9606551925382611E-02 a       237     0    16     1    12
  4.9703100541103933E-02 a       238     0    16     1    13
  3.2445850591879200E-01 a       239     0    16     1    14
  1.5618136546412170E-01 a       240     0    16     1    15
  4.6930827434143403E-02 a       241     0    17     1     1
  1.1267824250201215E-01 a       242     0    17     1     2
 -3.9259535022652670E-02 a       243     0    17     1     3
  2.3942007573166008E-01 a       244     0    17     1     4
  3.3606909630720591E-02 a       245     0    17     1     5
  9.0970419878868683E-02 a       246     0    17     1     6
 -5.5887551624125474E-02 a       247     0    17     1     7
  4.7664004894218931E-02 a       248     0    17     1     8
  1.1653970404605458E-01 a       249     0    17     1     9
  6.1291218670272957E-02 a       250     0    17     1    10
 -9.2054712618171337E-03 a       251     0    17     1    11
  6.0551635868741911E-02 a       252     0    17     1    12
 -8.3587400356054775E-02 a       253     0    17     1    13
 -1.1442207773435881E-02 a       254     0    17     1    14
  1.0187738466655492E-01 a       255     0    17     1    15
  3.5818970671176956E-03 a       256     0    18     1     1
 -4.7770467705420490E-02 a       257     0    18     1     2
 -1.5283761951681568E-02 a       258     0    18     1     3
