################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  5.3172017990536535E-01 a         1     0     1     1     1
  2.0306027835421217E-01 a         2     0     1     1     2
  1.1225204895806442E+00 a         3     0     1     1     3
 -1.0951050859220228E+00 a         4     0     1     1     4
 -1.0882194248965764E+00 a         5     0     1     1     5
 -6.0482439629495210E-01 a         6     0     1     1     6
 -1.6501503936720327E-01 a         7     0     1     1     7
  9.5887503389262818E-01 a         8     0     1     1     8
  6.8107775410629590E-01 a         9     0     1     1     9
 -1.9871891812195983E-01 a        10     0     1     1    10
 -5.5180684945093084E-01 a        11     0     1     1    11
 -8.8185178422505328E-01 a        12     0     1     1    12
  1.5016255945370349E+00 a        13     0     1     1    13
 -7.4692577077731426E-01 a        14     0     1     1    14
  4.6705491754296863E-01 a        15     0     1     1    15
  3.6058382043271670E-01 a        16     0     2     1     1
  5.2057269657966465E-01 a        17     0     2     1     2
  4.9427404726869889E-01 a        18     0     2     1     3
  6.0348704919050067E-01 a        19     0     2     1     4
 -1.0755083864209110E+00 a        20     0     2     1     5
  8.8745148519387351E-01 a        21     0     2     1     6
  4.9649209482021606E-01 a        22     0     2     1     7
 -8.8515764091134097E-01 a        23     0     2     1     8
 -6.7788600076605332E-01 a        24     0     2     1     9
  2.3791960024920934E-02 a        25     0     2     1    10
  5.5297924837809809E-01 a        26     0     2     1    11
 -6.2309432257375363E-01 a        27     0     2     1    12
  5.7891553040870392E-01 a        28     0     2     1    13
 -8.6690021144689922E-01 a        29     0     2     1    14
 -2.0611312725759796E+00 a        30     0     2     1    15
 -3.9785236414822184E-01 a        31     0     3     1     1
  2.7914362213223654E-01 a        32     0     3     1     2
 -1.4207711036764353E-01 a        33     0     3     1     3
 -3.9236591493574230E-01 a        34     0     3     1     4
  7.5306743808562088E-02 a        35     0     3     1     5
  2.6593805773087992E-01 a        36     0     3     1     6
 -1.4253601036296226E+00 a        37     0     3     1     7
 -4.8634786270047498E-01 a        38     0     3     1     8
  1.0333469711654064E+00 a        39     0     3     1     9
 -5.0613530649493137E-02 a        40     0     3     1    10
  1.3599443395610641E-01 a        41     0     3     1    11
 -4.0076283811444469E-01 a        42     0     3     1    12
 -8.6641559346920716E-01 a        43     0     3     1    13
  2.9190036049293583E-01 a        44     0     3     1    14
 -6.9670796724856576E-01 a        45     0     3     1    15
  1.3935468621722510E-01 a        46     0     4     1     1
  2.4336014166124917E-01 a        47     0     4     1     2
 -1.5181771539270084E-01 a        48     0     4     1     3
 -5.7844421013581537E-01 a        49     0     4     1     4
  1.2082784132679547E+00 a        50     0     4     1     5
 -8.7343959757470890E-01 a        51     0     4     1     6
  1.6368395784720130E-01 a        52     0     4     1     7
  7.6307385474977063E-01 a        53     0     4     1     8
 -7.5817907158222919E-01 a        54     0     4     1     9
  6.6203842736344476E-01 a        55     0     4     1    10
 -4.1247492450849910E-01 a        56     0     4     1    11
  4.4315426979219874E-01 a        57     0     4     1    12
  7.7481908878565819E-01 a        58     0     4     1    13
 -2.8483289751171259E-01 a        59     0     4     1    14
  3.0988769839450656E+00 a        60     0     4     1    15
 -5.9249046457491406E-01 a        61     0     5     1     1
 -7.9731173741417227E-01 a        62     0     5     1     2
 -1.2339416383339190E+00 a        63     0     5     1     3
  1.6461870953614794E+00 a        64     0     5     1     4
  6.2749526346748385E-01 a        65     0     5     1     5
  2.0805784779716556E+00 a        66     0     5     1     6
 -2.3420209455343022E-01 a        67     0     5     1     7
 -2.4283115674749753E+00 a        68     0     5     1     8
 -9.0840617457480610E-01 a        69     0     5     1     9
 -1.3084429774422870E+00 a        70     0     5     1    10
  7.5287601783704927E-01 a        71     0     5     1    11
 -1.1100468949593113E-01 a        72     0     5     1    12
 -2.7660108240888550E+00 a        73     0     5     1    13
  6.3048751624240762E-01 a        74     0     5     1    14
 -2.9607083598417181E+00 a        75     0     5     1    15
 -4.2399030996982850E-01 a        76     0     6     1     1
  1.0110417581170385E-01 a        77     0     6     1     2
 -2.4657498700449546E-01 a        78     0     6     1     3
 -1.2183158969848464E-01 a        79     0     6     1     4
  1.4899967371950342E+00 a        80     0     6     1     5
 -2.7759759739573403E-01 a        81     0     6     1     6
 -2.7818689678690145E-01 a        82     0     6     1     7
  1.5505002504533011E-01 a        83     0     6     1     8
 -6.5159270785730972E-01 a        84     0     6     1     9
  7.0304709401458187E-01 a        85     0     6     1    10
 -1.8698073861989484E-01 a        86     0     6     1    11
  5.3470605680326388E-01 a        87     0     6     1    12
 -2.1388590892976147E-02 a        88     0     6     1    13
 -4.0228896043159146E-01 a        89     0     6     1    14
  3.0498494345509757E+00 a        90     0     6     1    15
 -9.4508443860373792E-01 a        91     0     7     1     1
  2.0381686636436282E-02 a        92     0     7     1     2
 -6.5416165353688305E-01 a        93     0     7     1     3
 -2.6999165104510165E+00 a        94     0     7     1     4
  1.4225501199129922E+00 a        95     0     7     1     5
 -2.1833814195813064E+00 a        96     0     7     1     6
  2.8694812784244322E-01 a        97     0     7     1     7
  1.8293623715868317E+00 a        98     0     7     1     8
  2.8165606571278917E-01 a        99     0     7     1     9
 -1.0622598121192696E-01 a       100     0     7     1    10
 -1.9187380984744511E+00 a       101     0     7     1    11
  1.9334719579904389E+00 a       102     0     7     1    12
  1.9863312125705506E+00 a       103     0     7     1    13
  1.3470138315421347E+00 a       104     0     7     1    14
  4.8881682628881427E+00 a       105     0     7     1    15
  8.5319673782112984E-02 a       106     0     8     1     1
 -1.3379582407529872E-01 a       107     0     8     1     2
 -3.4887829672434056E-01 a       108     0     8     1     3
  7.0204364962193777E-01 a       109     0     8     1     4
 -6.5543114198838126E-02 a       110     0     8     1     5
  2.5734956797735259E-01 a       111     0     8     1     6
 -2.7958493007077989E-01 a       112     0     8     1     7
 -1.0345064545232292E+00 a       113     0     8     1     8
  2.9503500326482962E-01 a       114     0     8     1     9
  2.1919460500489829E-01 a       115     0     8     1    10
  6.6883488046248019E-01 a       116     0     8     1    11
  3.1421302663972861E-03 a       117     0     8     1    12
 -9.4218166484782750E-01 a       118     0     8     1    13
 -3.4438170056914574E-01 a       119     0     8     1    14
 -6.8507889316207132E-02 a       120     0     8     1    15
  1.7479035740679201E+00 a       121     0     9     1     1
 -6.3681675589343234E-01 a       122     0     9     1     2
 -8.5629395597517186E-02 a       123     0     9     1     3
  2.8259462671413726E-01 a       124     0     9     1     4
 -2.2997536316394092E+00 a       125     0     9     1     5
  1.9667559824764044E-01 a       126     0     9     1     6
  1.4718595758911492E+00 a       127     0     9     1     7
  3.7481666002310238E-01 a       128     0     9     1     8
 -1.3384387978746085E-01 a       129     0     9     1     9
  1.5708561597759656E+00 a       130     0     9     1    10
  2.6338845608930489E-01 a       131     0     9     1    11
  6.3080940320204082E-01 a       132     0     9     1    12
 -1.0777270966246035E+00 a       133     0     9     1    13
  3.9757305962378359E-01 a       134     0     9     1    14
 -7.8656983020130111E-01 a       135     0     9     1    15
 -9.9244091135362283E-02 a       136     0    10     1     1
 -6.7730512898448933E-02 a       137     0    10     1     2
 -3.7001447520241060E-01 a       138     0    10     1     3
  2.2999184864786506E+00 a       139     0    10     1     4
 -4.5214792359727707E-01 a       140     0    10     1     5
  9.1235204648693680E-01 a       141     0    10     1     6
 -5.9348860438574891E-01 a       142     0    10     1     7
 -1.2451544232793998E+00 a       143     0    10     1     8
 -2.0897317196970785E-01 a       144     0    10     1     9
  1.2347614013888769E-01 a       145     0    10     1    10
  3.3799858960524859E-01 a       146     0    10     1    11
  1.9883369842382745E-01 a       147     0    10     1    12
 -8.8035526815205989E-01 a       148     0    10     1    13
 -1.4366314652090095E-01 a       149     0    10     1    14
 -1.7213420783402427E+00 a       150     0    10     1    15
 -1.7737347054233072E+00 a       151     0    11     1     1
  1.0671797907889184E+00 a       152     0    11     1     2
 -3.5403622684031533E-01 a       153     0    11     1     3
 -2.3455869049060118E-01 a       154     0    11     1     4
  1.0764154914249062E+00 a       155     0    11     1     5
 -1.9595901129345494E+00 a       156     0    11     1     6
 -1.0664881623877127E+00 a       157     0    11     1     7
  9.4454824678873028E-01 a       158     0    11     1     8
  2.1283077493077034E+00 a       159     0    11     1     9
 -1.3726616138543817E+00 a       160     0    11     1    10
 -3.7791750839167881E-01 a       161     0    11     1    11
 -3.6615404294589232E-01 a       162     0    11     1    12
  2.6006782194963785E-01 a       163     0    11     1    13
 -8.2199007159584536E-01 a       164     0    11     1    14
  2.1549068747432418E+00 a       165     0    11     1    15
 -4.5597587857175929E-02 a       166     0    12     1     1
  1.4582235333918476E+00 a       167     0    12     1     2
 -4.1351115377765529E-01 a       168     0    12     1     3
 -1.3300639946012476E+00 a       169     0    12     1     4
 -1.0527031944708150E+00 a       170     0    12     1     5
 -7.6083870189796110E-01 a       171     0    12     1     6
 -1.1617101144068012E+00 a       172     0    12     1     7
  4.0296537739454741E-01 a       173     0    12     1     8
  3.2170553794852212E+00 a       174     0    12     1     9
  2.8707056820143018E-02 a       175     0    12     1    10
  2.0277495685931321E-01 a       176     0    12     1    11
  4.7001302670768585E-01 a       177     0    12     1    12
  5.5258084641301419E-01 a       178     0    12     1    13
 -1.2938422021790880E-01 a       179     0    12     1    14
  2.8050306261436214E-01 a       180     0    12     1    15
  9.8475797843559498E-01 a       181     0    13     1     1
 -2.4622964011983042E-01 a       182     0    13     1     2
  1.1185087465689998E+00 a       183     0    13     1     3
 -4.5572857664039845E-01 a       184     0    13     1     4
 -1.2957539559278322E+00 a       185     0    13     1     5
  1.0617675979878205E+00 a       186     0    13     1     6
  1.0059999893133285E-01 a       187     0    13     1     7
  1.8711741555284009E+00 a       188     0    13     1     8
 -3.2110538370930652E+00 a       189     0    13     1     9
  2.5022239483532771E+00 a       190     0    13     1    10
 -8.9852537494443974E-01 a       191     0    13     1    11
 -1.4615878937389590E+00 a       192     0    13     1    12
 -1.1185804566099837E+00 a       193     0    13     1    13
 -1.4539155662904799E+00 a       194     0    13     1    14
 -2.5953860552190150E-01 a       195     0    13     1    15
  8.0841622033549854E-01 a       196     0    14     1     1
 -6.7201335039298093E-01 a       197     0    14     1     2
 -2.3523473132246289E-01 a       198     0    14     1     3
 -1.3886767810221439E+00 a       199     0    14     1     4
  4.3752924990441172E-01 a       200     0    14     1     5
  9.8305168363086237E-01 a       201     0    14     1     6
 -2.1011978343247739E-01 a       202     0    14     1     7
 -1.6762481307989768E-01 a       203     0    14     1     8
 -1.2489934002337908E+00 a       204     0    14     1     9
  1.4325940984533944E-01 a       205     0    14     1    10
  1.8210562647487732E-01 a       206     0    14     1    11
 -2.6290435153010117E-01 a       207     0    14     1    12
 -3.6524435284628959E-01 a       208     0    14     1    13
  9.4682813747359373E-02 a       209     0    14     1    14
  3.8170676034943285E-01 a       210     0    14     1    15
 -2.0412479066737905E+00 a       211     0    15     1     1
  1.9032879426978608E-02 a       212     0    15     1     2
 -8.4568318295162870E-01 a       213     0    15     1     3
  1.3159941290905923E+00 a       214     0    15     1     4
 -1.3752566611443220E-02 a       215     0    15     1     5
  1.6143874285019238E-01 a       216     0    15     1     6
  7.4698448380502747E-01 a       217     0    15     1     7
 -1.3012255265637434E+00 a       218     0    15     1     8
  1.5104853941050913E+00 a       219     0    15     1     9
 -1.5302461677815065E+00 a       220     0    15     1    10
  1.3235174691865135E+00 a       221     0    15     1    11
  2.6310367163070592E-01 a       222     0    15     1    12
  3.3292310253430074E-02 a       223     0    15     1    13
  1.1836790188319122E+00 a       224     0    15     1    14
 -9.2122417089843300E-01 a       225     0    15     1    15
 -4.9813310908557973E-01 a       226     0    16     1     1
  6.9962154337234655E-02 a       227     0    16     1     2
  2.3667346162829103E-02 a       228     0    16     1     3
  4.2047820566693095E-01 a       229     0    16     1     4
 -9.1531837109318448E-01 a       230     0    16     1     5
 -1.4500802449298685E-02 a       231     0    16     1     6
 -9.0958648108950313E-01 a       232     0    16     1     7
 -5.2819205283389448E-01 a       233     0    16     1     8
  1.0582003516872818E-01 a       234     0    16     1     9
 -3.6664380212198250E-01 a       235     0    16     1    10
  5.7159016304654653E-01 a       236     0    16     1    11
 -6.0210246357912822E-01 a       237     0    16     1    12
 -1.5117820034682476E-02 a       238     0    16     1    13
  3.2490084674448069E-02 a       239     0    16     1    14
  7.0865094718856547E-01 a       240     0    16     1    15
 -1.0449761044669010E+00 a       241     0    17     1     1
  2.6537943009419990E-01 a       242     0    17     1     2
  3.8987287325048120E-01 a       243     0    17     1     3
  8.9710039559441623E-01 a       244     0    17     1     4
  4.0930823881823869E-01 a       245     0    17     1     5
  4.3414673881374000E-01 a       246     0    17     1     6
  5.2468244846526424E-01 a       247     0    17     1     7
  7.0123684412602205E-01 a       248     0    17     1     8
  1.3739570152366132E+00 a       249     0    17     1     9
  1.2487536882822143E+00 a       250     0    17     1    10
  6.9391844902728497E-02 a       251     0    17     1    11
  6.7310870897794306E-01 a       252     0    17     1    12
 -6.2186866418953574E-03 a       253     0    17     1    13
  5.7136775555936226E-01 a       254     0    17     1    14
  4.1762313086292902E-01 a       255     0    17     1    15
 -1.3382559777111708E-01 a       256     0    18     1     1
  7.9820816447953205E-02 a       257     0    18     1     2
  7.5289097147788475E-01 a       258     0    18     1     3
 -8.2328059826580002E-01 a       259     0    18     1     4
  1.0445135547367299E+00 a       260     0    18     1     5
  3.1040746348491099E-01 a       261     0    18     1     6
 -1.7750744249396505E-01 a       262     0    18     1     7
 -6.9880964870758278E-01 a       263     0    18     1     8
 -8.2699698220818274E-01 a       264     0    18     1     9
  9.0962087704055339E-02 a       265     0    18     1    10
 -1.0021008630836339E+00 a       266     0    18     1    11
 -8.4969992855809848E-02 a       267     0    18     1    12
 -1.5736190489000830E-02 a       268     0    18     1    13
  1.5021843116541941E-01 a       269     0    18     1    14
 -5.4532333277429812E-01 a       270     0    18     1    15
 -1.1707101355111433E+00 a       271     0    19     1     1
 -1.0520306370242272E+00 a       272     0    19     1     2
  2.3791620962006026E+00 a       273     0    19     1     3
  6.2353268426394715E-01 a       274     0    19     1     4
 -7.8537028741393844E-01 a       275     0    19     1     5
 -1.3447568736153446E+00 a       276     0    19     1     6
  1.8945607148590746E+00 a       277     0    19     1     7
  1.8908583722793106E+00 a       278     0    19     1     8
