################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  5.6779193728879551E-01 a         1     0     1     1     1
  3.0023638016956700E-01 a         2     0     1     1     2
 -3.9300434265409478E-01 a         3     0     1     1     3
 -1.7957974161720311E-01 a         4     0     1     1     4
  3.8218250596792680E-01 a         5     0     1     1     5
  9.1150684547252381E-01 a         6     0     1     1     6
  1.0141734833292038E+00 a         7     0     1     1     7
 -3.6589860771582960E-01 a         8     0     1     1     8
  2.8346085768085838E-02 a         9     0     1     1     9
 -7.4841789338466269E-01 a        10     0     1     1    10
  7.4125136048841245E-01 a        11     0     1     1    11
  7.1084211468381064E-01 a        12     0     1     1    12
  5.7232772241521701E-01 a        13     0     1     1    13
 -5.4847450006150333E-01 a        14     0     1     1    14
 -4.5950243401088914E-01 a        15     0     1     1    15
  4.4447335669718147E-01 a        16     0     2     1     1
 -3.1690887181318322E-02 a        17     0     2     1     2
  1.4895311498341588E+00 a        18     0     2     1     3
  7.0081829036208812E-02 a        19     0     2     1     4
  6.4388716842383542E-01 a        20     0     2     1     5
 -4.0347199865202948E-01 a        21     0     2     1     6
 -5.2601879162823562E-01 a        22     0     2     1     7
  1.2017404038846058E+00 a        23     0     2     1     8
 -1.9190936791085741E-01 a        24     0     2     1     9
 -2.9079648828618360E-01 a        25     0     2     1    10
 -1.6047167775759774E-01 a        26     0     2     1    11
 -1.5532916835043939E+00 a        27     0     2     1    12
  1.4549941395150176E-01 a        28     0     2     1    13
 -2.8315624937658213E-01 a        29     0     2     1    14
 -3.3405547193103127E+00 a        30     0     2     1    15
  2.7160334904986632E-02 a        31     0     3     1     1
 -2.8258106094354485E-01 a        32     0     3     1     2
 -6.3106860083753880E-01 a        33     0     3     1     3
 -1.3394241082838521E-01 a        34     0     3     1     4
  6.3328266449755566E-01 a        35     0     3     1     5
  6.2980717585480017E-01 a        36     0     3     1     6
 -7.2746605938889111E-02 a        37     0     3     1     7
 -2.9804052006413956E-01 a        38     0     3     1     8
  1.4698993861243832E-02 a        39     0     3     1     9
 -2.8817201251939323E-01 a        40     0     3     1    10
 -4.0176928213394925E-01 a        41     0     3     1    11
  6.0244867408709657E-01 a        42     0     3     1    12
 -3.4069608765724663E-01 a        43     0     3     1    13
  1.3300343550113600E-01 a        44     0     3     1    14
  1.3739084910823942E+00 a        45     0     3     1    15
 -5.4848762206773916E-01 a        46     0     4     1     1
 -5.7117883571003569E-01 a        47     0     4     1     2
 -6.8446214665738869E-01 a        48     0     4     1     3
  1.0196287471187420E+00 a        49     0     4     1     4
 -8.9178610468783037E-01 a        50     0     4     1     5
  5.9488026702337427E-01 a        51     0     4     1     6
 -6.5853416551689836E-01 a        52     0     4     1     7
